doid 	 name 
MONDO:0016780	paternal 14q32.2 microdeletion syndrome
MONDO:0016781	maternal 14q32.2 microdeletion syndrome
MONDO:0016897	partial deletion of the short arm of chromosome 19
MONDO:0012579	autoimmune pulmonary alveolar proteinosis
MONDO:0015582	rare disorder related with pregnancy, childbirth and puerperium
MONDO:0014694	spondylocostal dysostosis 6, autosomal recessive
MONDO:0012578	AUTS13
MONDO:0016420	familial flecked retinopathy
MONDO:0016921	partial duplication of chromosome 1
MONDO:0017315	short stature-webbed neck-heart disease syndrome
MONDO:0012575	branchiootorenal syndrome 2
MONDO:0006249	hyperplastic polyp
MONDO:0007368	familial benign copper deficiency
MONDO:0007369	hereditary coproporphyria
MONDO:0007366	seizures, benign familial neonatal, 2
MONDO:0007367	FEB1
MONDO:0007364	arthrogryposis, distal, type 2E
MONDO:0007365	seizures, benign familial neonatal, 1
MONDO:0007362	cone-rod dystrophy 2
MONDO:0007363	congenital contractural arachnodactyly
MONDO:0007360	branchiootic syndrome 2
MONDO:0007361	C1 inhibitor deficiency
MONDO:0016434	acquired dermis elastic tissue disorder
MONDO:0016435	acquired dermis elastic tissue disorder with decreased elastic tissue
MONDO:0016436	acquired dermis elastic tissue disorder with increased elastic tissue
MONDO:0016437	late-onset focal dermal elastosis
MONDO:0016430	BalC3 concentric sclerosis
MONDO:0016431	autosomal dominant Charcot-Marie-tooth disease type 2M
MONDO:0016432	heart-hand syndrome
MONDO:0016433	dysmorphism-short stature-deafness-disorder of sex development syndrome
MONDO:0017051	classic maple syrup urine disease
MONDO:0016438	linear focal dermal elastosis
MONDO:0004578	flat retinoschisis
MONDO:0012570	body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency
MONDO:0004547	reticular pattern testicular yolk sac tumor
MONDO:0004546	lumbar plexus neoplasm
MONDO:0004545	adult malignant schwannoma
MONDO:0004544	chordoid meningioma
MONDO:0004543	enteric pattern testicular yolk sac tumor
MONDO:0004542	glassy cell variant cervical adenosquamous carcinoma
MONDO:0003261	papillary meningioma of the cerebellum
MONDO:0004540	epithelioid malignant peripheral nerve sheath tumor
MONDO:0021065	pleural neoplasm
MONDO:0021064	jugulotympanic paraganglioma
MONDO:0021067	mediastinal germ cell tumor
MONDO:0021066	urinary system neoplasm
MONDO:0021061	neurofibromatosis
MONDO:0021060	RASopathy
MONDO:0021063	colon cancer
MONDO:0004548	adult type testicular granulosa cell tumor
MONDO:0005636	adenosarcoma
MONDO:0000461	biotin deficiency
MONDO:0000462	eye adnexa disease
MONDO:0000463	urofacial syndrome
MONDO:0005632	acute chest syndrome
MONDO:0000465	atrioventricular block
MONDO:0000466	first-degree atrioventricular block
MONDO:0005147	type 1 diabetes mellitus
MONDO:0005148	type 2 diabetes mellitus
MONDO:0005149	pulmonary hypertension
MONDO:0005638	agnosia
MONDO:0005639	AIDS related complex
MONDO:0008486	steatocystoma multiplex-natal teeth syndrome
MONDO:0008487	polycystic ovary syndrome
MONDO:0008484	stapes ankylosis with broad thumbs and toes
MONDO:0008485	Sebocystomatosis
MONDO:0008482	sprengel deformity (disease)
MONDO:0008483	STUT1
MONDO:0008480	Odontochondrodysplasia
MONDO:0003701	nonencapsulated sclerosing carcinoma
MONDO:0017925	T-cell immunodeficiency with epidermodysplasia verruciformis
MONDO:0016829	familial visceral myopathy
MONDO:0003702	uterus intravascular leiomyomatosis
MONDO:0008488	holoprosencephaly-radial heart renal anomalies syndrome
MONDO:0008489	sternum, premature Obliteration of sutures of
MONDO:0001593	rectal disease
MONDO:0015208	syndromic esophageal malformation
MONDO:0003703	uterine corpus leiomyomatosis
MONDO:0001592	prolapse of female genital organ
MONDO:0003704	uterine corpus diffuse leiomyomatosis
MONDO:0015200	anisakiasis
MONDO:0015201	ankyloblepharon filiforme-imperforate anus syndrome
MONDO:0001304	benign hypertensive renal disease
MONDO:0001591	senile entropion
MONDO:0015204	Microlissencephaly
MONDO:0003257	posterior pituitary gland neoplasm
MONDO:0017451	brachydactyly of fingers
MONDO:0001590	quadriplegia
MONDO:0003254	cardiac granular cell neoplasm
MONDO:0007820	fused mandibular incisors
MONDO:0013147	dilated cardiomyopathy 1CC
MONDO:0004575	choline deficiency disease
MONDO:0015031	Extraneural perineurioma
MONDO:0013494	PSMNSW
MONDO:0005625	cerebral malaria
MONDO:0013497	Okt4 Epitope deficiency
MONDO:0005156	encephalomyelitis
MONDO:0003959	breast large cell neuroendocrine carcinoma
MONDO:0001266	erysipelas
MONDO:0005155	liver cirrhosis
MONDO:0017450	split foot (disease)
MONDO:0010366	FG syndrome 5
MONDO:0000474	pericardium disease
MONDO:0010367	SHOX-related short stature
MONDO:0000473	artery disease
MONDO:0005152	hypopituitarism
MONDO:0003849	clivus chordoma
MONDO:0003848	ectopic thymus
MONDO:0005151	endocrine system disease
MONDO:0003958	childhood central nervous system immature teratoma
MONDO:0003843	cerebral hemisphere lipoma
MONDO:0003842	childhood cerebellar astrocytic neoplasm
MONDO:0003841	heart lipoma
MONDO:0000470	endocardium disease
MONDO:0003847	genetic disease
MONDO:0003846	viral esophagitis
MONDO:0003845	corpus callosum lipoma
MONDO:0003844	central nervous system lipoma
MONDO:0004105	pediatric epithelioid sarcoma
MONDO:0006606	scleredema adultorum
MONDO:0018256	acute myeloid leukemia with t(8;16)(p11;p13) translocation
MONDO:0006391	pyloric gland adenoma
MONDO:0020315	unclassified myelodysplastic syndrome
MONDO:0017452	brachydactyly of toes
MONDO:0001733	venous tributary occlusion of retina
MONDO:0001732	trigonitis
MONDO:0001731	benign vaginal carcinosarcoma
MONDO:0001730	urethral syndrome
MONDO:0001737	tetanus neonatorum
MONDO:0001736	neonatal infective mastitis
MONDO:0001735	paranasal sinus disease
MONDO:0001734	tuberous sclerosis
MONDO:0010490	SSR4-CDG
MONDO:0010491	X-linked acrogigantism due to Xq26 microduplication
MONDO:0001739	purulent labyrinthitis
MONDO:0010493	Diamond-Blackfan anemia 14 with mandibulofacial dysostosis
MONDO:0010494	linear skin defects with multiple congenital anomalies 3
MONDO:0010495	trichothiodystrophy 5, nonphotosensitive
MONDO:0010496	X-linked intellectual disability-short stature-overweight syndrome
MONDO:0010497	mental retardation, X-linked 102
MONDO:0009751	neuropathy, hereditary sensory, atypical
MONDO:0009750	neuropathy, hereditary motor and sensory, with excessive myelin Folding complex, autosomal recessive
MONDO:0009753	Neurovisceral storage disease with Curvilinear bodies
MONDO:0009752	neuropathy, painful
MONDO:0009755	neutrophil actin dysfunction
MONDO:0009754	neutropenia, lethal congenital, with eosinophilia
MONDO:0009757	Niemann-Pick disease, type C1
MONDO:0009756	Niemann-Pick disease type A
MONDO:0009759	mosaic variegated aneuploidy syndrome 1
MONDO:0009758	congenital stationary night blindness 1B
MONDO:0019626	isolated ankyloblepharon filiforme adnatum
MONDO:0009682	muscular dystrophy, congenital, with Rapid Progression
MONDO:0016905	partial deletion of the long arm of chromosome 6
MONDO:0014007	Aicardi-Goutieres syndrome 6
MONDO:0014006	intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome
MONDO:0014005	immunoglobulin-mediated membranoproliferative glomerulonephritis
MONDO:0014004	basal ganglia calcification, idiopathic, 4
MONDO:0014003	epileptic encephalopathy, early infantile, 15
MONDO:0014550	long QT syndrome 15
MONDO:0014001	Usher syndrome type 1K
MONDO:0012929	Compton-North congenital myopathy
MONDO:0012926	amelogenesis imperfecta hypomaturation type 2A2
MONDO:0012927	chromosome 1q41-q42 deletion syndrome
MONDO:0012924	Diamond-Blackfan anemia 4
MONDO:0012925	Diamond-Blackfan anemia 5
MONDO:0012922	IHPS5
MONDO:0012923	congenital generalized lipodystrophy type 3
MONDO:0012920	type 1 diabetes mellitus 21
MONDO:0012921	type 1 diabetes mellitus 22
MONDO:0017200	polycystic ovaries-urethral sphincter dysfunction syndrome
MONDO:0007036	Achard syndrome
MONDO:0017202	acute endophthalmitis
MONDO:0017203	chronic endophthalmitis
MONDO:0017204	toxic maculopathy due to antimalarial drugs
MONDO:0017205	primary oculocerebral lymphoma
MONDO:0017206	primary intraocular lymphoma
MONDO:0007037	achondroplasia
MONDO:0018443	FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome
MONDO:0017209	infectious posterior uveitis
MONDO:0018440	autosomal recessive distal renal tubular acidosis
MONDO:0018447	chondromyxoid fibroma
MONDO:0011907	acrocapitofemoral dysplasia
MONDO:0018445	global developmental delay-lung cysts-overgrowth-wilms tumor syndrome
MONDO:0017861	ethylene glycol poisoning
MONDO:0010274	TGCT1
MONDO:0010275	spondyloepimetaphyseal dysplasia, Bieganski type
MONDO:0010276	radioulnar synostosis, radial ray abnormalities, and severe malformations 1N the male
MONDO:0010277	syndromic X-linked intellectual disability Shashi type
MONDO:0010270	syndromic X-linked intellectual disability 7
MONDO:0010271	X-linked myotubular myopathy-abnormal genitalia syndrome
MONDO:0010272	syndromic X-linked intellectual disability type 10
MONDO:0010273	lymphoma, Hodgkin, X-linked pseudoautosomal
MONDO:0009632	microphthalmia with hyperopia, retinal degeneration, Macrophakia, and dental anomalies
MONDO:0007032	prune belly syndome
MONDO:0009630	microphthalmia, isolated, with coloboma 4
MONDO:0009631	isolated microphthalmia 1
MONDO:0009636	mitochondrial DNA depletion syndrome 3
MONDO:0009637	mitochondrial myopathy
MONDO:0009634	microtia with meatal atresia and conductive deafness
MONDO:0009635	microvillus inclusion disease
MONDO:0013547	mitochondrial complex V (ATP synthase) deficiency nuclear type 3
MONDO:0017049	hypomyelination neuropathy-arthrogryposis syndrome
MONDO:0014328	epileptic encephalopathy, early infantile, 19
MONDO:0002510	germ cell and embryonal cancer
MONDO:0013546	mitochondrial complex V (ATP synthase) deficiency nuclear type 2
MONDO:0002043	ectropion
MONDO:0013545	atrial fibrillation, familial, 12
MONDO:0019558	discoid lupus erythematosus
MONDO:0007748	hypercalciuria, Absorptive, 2
MONDO:0011270	prostate cancer, hereditary, 8
MONDO:0013544	atrial fibrillation, familial, 11
MONDO:0007749	autosomal recessive infantile hypercalcemia
MONDO:0006395	rectal tubulovillous adenoma
MONDO:0018115	epidermal nevus syndrome
MONDO:0008149	osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures
MONDO:0009320	hall-Riggs syndrome
MONDO:0013542	Moyamoya disease 5
MONDO:0015219	non-syndromic central nervous system malformation
MONDO:0014261	growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome
MONDO:0016580	congenital pulmonary airway malformation
MONDO:0017567	Macrodactyly of toes, bilateral
MONDO:0013540	deafness-lymphedema-leukemia syndrome
MONDO:0016581	conotruncal heart malformations
MONDO:0020127	genetic peripheral neuropathy
MONDO:0020126	rare peripheral neuropathy
MONDO:0020125	acquired neuromuscular junction disease
MONDO:0020124	neuromuscular junction disease
MONDO:0020123	metabolic myopathy
MONDO:0020122	idiopathic inflammatory myopathy
MONDO:0020121	muscular dystrophy
MONDO:0020120	skeletal muscle disease
MONDO:0007039	neurofibromatosis type 2
MONDO:0009321	hallux varus-preaxial polysyndactyly syndrome
MONDO:0020129	acquired motor neuron disease
MONDO:0020128	motor neuron disease
MONDO:0019973	persistent placoid maculopathy
MONDO:0017556	Madelung deformity, unilateral
MONDO:0014360	epileptic encephalopathy, early infantile, 21
MONDO:0019976	dementia pugilistica
MONDO:0015210	syndromic gastroduodenal malformation
MONDO:0003951	scrotal angioma
MONDO:0009322	halo nevi
MONDO:0014268	combined immunodeficiency due to OX40 deficiency
MONDO:0017460	syndactyly type 6
MONDO:0012637	COG1-CDG
MONDO:0019292	dermis elastic tissue disorder
MONDO:0012142	orofacial cleft 5
MONDO:0014289	macrocephaly-developmental delay syndrome
MONDO:0015214	syndromic visceral malformation
MONDO:0016153	qualitative or quantitative defects of TRIM32
MONDO:0016152	qualitative or quantitative defects of calpain
MONDO:0016151	qualitative or quantitative defects of perlecan
MONDO:0012635	COG8-CDG
MONDO:0016157	qualitative or quantitative defects of fukutin
MONDO:0016156	qualitative or quantitative defects of FKRP
MONDO:0003950	nipple carcinoma
MONDO:0016154	qualitative or quantitative defects of myotubularin
MONDO:0006170	conjunctival disorder
MONDO:0012144	Waardenburg syndrome type 2D
MONDO:0006172	conjunctival nevus
MONDO:0006173	conjunctival squamous cell carcinoma
MONDO:0006174	cortisol-producing adrenal cortex adenoma
MONDO:0006176	cribriform carcinoma
MONDO:0017465	congenital pseudoarthrosis of the radius
MONDO:0016279	adenosarcoma of the cervix uteri
MONDO:0012146	familial hemophagocytic lymphohistiocytosis 3
MONDO:0019299	unclassified genetic skin disorder
MONDO:0017467	tibio-fibular synostosis
MONDO:0013727	pregnancy loss, recurrent, susceptibility to, 1
MONDO:0008909	congenital disorder of glycosylation, type i/Iix
MONDO:0008908	MGAT2-CDG
MONDO:0009324	Hartnup disease
MONDO:0013726	lethal encephalopathy due to mitochondrial and peroxisomal fission defect
MONDO:0008903	lung cancer
MONDO:0008902	camptodactyly-ichthyosis syndrome
