drugbank_id	name	type	groups	atc_codes	categories	inchikey	inchi	inchikeys	synonyms	unii	uniis	external_identifiers	extra_names	brands	molecular_forula	molecular_formular_experimental	gene_sequence	amino_acid_sequence	sequence	description
DB00840	Hydroxypropyl cellulose	small molecule	['approved']	[]	Artificial Tears|Biomedical and Dental Materials|Biopolymers|Carbohydrates|Chemical Actions and Uses|Glucans|Macromolecular Substances|Manufactured Materials|Ophthalmics|Polymers|Polysaccharides|Specialty Uses of Chemicals|Technology, Industry, and Agriculture			[]	Cellulose hydroxypropyl ether|Cellulose, 2-hydroxypropyl ether|Hiprolosa|Hydroxypropyl cellulose|Hydroxypropyl cellulose (type H)|Hydroxypropylcellulose|Hyprolose|Hyprolosum|Modified cellulose	RFW2ET671P	[]	Drugs Product Database (DPD):13317|KEGG Drug:D01536|PharmGKB:PA164746492|Wikipedia:Hydroxypropyl_cellulose|ChEMBL:CHEMBL1201471	[]	['A-Gel']						Hydroxypropyl cellulose is an ether of cellulose where some of the hydroxyl groups of the cellulose have been hydroxypropylated forming -OCH2CH(OH)CH3 groups. Lacrisertis a formulation of hydroxypropyl cellulose that is used for artificial tears. It is used to treat syndromes characterized by insufficient tear production (keratoconjunctivitis sicca), recurrent corneal erosions, decreased corneal sensitivity, exposure and neuroparalytic keratitis, and as a lubricant for artificial eyes. As a food additive, hydroxypropyl cellulose is used as a thickener and as an emulsion stabilizer.
DB00893	Iron Dextran	small molecule	approved|vet_approved	[]	Biomedical and Dental Materials|Biopolymers|Carbohydrates|Chemical Actions and Uses|Dextrans|Ferric Compounds|Glucans|Hematinics|Hematologic Agents|Inorganic Chemicals|Iron Compounds|Iron Salts|Macromolecular Substances|Manufactured Materials|Organic Chemicals|Organometallic Compounds|Pharmacologic Actions|Polymers|Polysaccharides|Specialty Uses of Chemicals|Supplements|Technology, Industry, and Agriculture|Therapeutic Uses			[]	Dextran iron|Iron dextran complex	95HR524N2M	[]	Drugs Product Database (DPD):4832|KEGG Drug:D02141|PharmGKB:PA164764618|Therapeutic Targets Database:DAP001312|ChEMBL:CHEMBL1201544	[]	CosmoFer|Dexferrum|Feosol|Imferon|Proferdex						Iron dextran is a dark brown, slightly viscous liquid complex of ferric hydroxide and dextran for intravenous or intramuscular use. Iron Dextran is used for the treatment of patients with documented iron deficiency in which oral administration is unsatisfactory or impossible. 
DB00930	Colesevelam	small molecule	['approved']	['C10AC04']	Alkenes|Allyl Compounds|Allylamine|Amines|Anticholesteremic Agents|Antimetabolites|Bile Acid Sequestrants|Cardiovascular System|Chemical Actions and Uses|Hydrocarbons|Hydrocarbons, Acyclic|Hypolipidemic Agents|Lipid Modifying Agents|Lipid Modifying Agents, Plain|Lipid Regulating Agents|Molecular Mechanisms of Pharmacological Action|Noxae|Organic Chemicals|Pharmacologic Actions|Therapeutic Uses|Toxic Actions			['VTAKZNRDSPNOAU-UHFFFAOYNA-M']	[]	1XU104G55N	['P4SG24WI5Q']	Drugs Product Database (DPD):20982|PharmGKB:PA449095|Wikipedia:Colesevelam	['Colesevelam hydrochloride']	['CholestaGel']						Colesevelam is a bile acid sequestrant. Colesevelam is used with exercise and diet changes (restriction of cholesterol and fat intake) to reduce the amount of cholesterol and certain fatty substances in the blood. It works by binding bile acids in the intestine. Bile acids are made when cholesterol is broken down in the body. Removing these bile acids helps to lower blood cholesterol.
DB00965	Ethiodized oil	small molecule	['approved']	[]	Antineoplastic Agents|Biological Products|Chemical Actions and Uses|Complex Mixtures|Contrast Media|Diagnostic Uses of Chemicals|Iodinated Contrast Agents|Iodized Oil|Lipids|Oils|Pharmacologic Actions|Plant Oils|Plant Preparations|Specialty Uses of Chemicals|Therapeutic Uses			[]	['EOE 13']	KZW0R0686Q	[]	KEGG Drug:D04082|PharmGKB:PA164768833|Wikipedia:Ethiodized_oil|ChEMBL:CHEMBL1201458	[]	['Ethiodol']						Ethiodized oil is used by injection as a radio-opaque contrast agent. It is composed of iodine combined with ethyl esters of fatty acids of poppyseed oil, primarily as ethyl monoiodostearate and ethyl diiodostearate. The precise structure is not known.
DB00994	Neomycin	small molecule	approved|vet_approved	A07AA51|J01GB05|D06AX04|S03AA01|S01AA03|B05CA09|A07AA01|S02AA07|R02AB01|A01AB08	Alimentary Tract and Metabolism|Aminoglycosides|Anti-Bacterial Agents|Anti-Infective Agents|Antiinfectives and Antiseptics for Local Oral Treatment|Carbohydrates|Chemical Actions and Uses|Enzyme Inhibitors|Glycosides|Molecular Mechanisms of Pharmacological Action|Pharmacologic Actions|Protein Synthesis Inhibitors|Stomatological Preparations|Therapeutic Uses			['OIXVKQDWLFHVGR-CITJEJKVSA-N']	[]	I16QD7X297	3I9J454G9F|88L7V8H11U	Drugs Product Database (DPD):8638|Drugs Product Database (DPD):8636|ChEBI:7507|PubChem Substance:46505525|KEGG Compound:C00384|PharmGKB:PA450608|PDB:CNY|Therapeutic Targets Database:DAP000036|Wikipedia:Neomycin|ChEMBL:CHEMBL449118	Neomycin palmitate|Neomycin sulfate	Myacyne|Mycifradin|Myciguent|Neo-Rx|Neobiotic|Nivemycin						A component of neomycin that is produced by Streptomyces fradiae. On hydrolysis it yields neamine and neobiosamine B. (From Merck Index, 11th ed). Neomycin is a bactericidal aminoglycoside antibiotic that binds to the 30S ribosome of susceptible organisms. Binding interferes with mRNA binding and acceptor tRNA sites and results in the production of non-functional or toxic peptides.
DB01109	Heparin	small molecule	approved|investigational	S01XA14|C05BA03|C05BA53|B01AB51|B01AB01	Anticoagulants|Blood and Blood Forming Organs|Carbohydrates|Cardiovascular Agents|Chemical Actions and Uses|Fibrin Modulating Agents|Fibrinolytic Agents|Glycosaminoglycans|Hematologic Agents|Heparin|Heparin Group|Heparin, Low-Molecular-Weight|Heparins|Molecular Mechanisms of Pharmacological Action|Pharmacologic Actions|Polysaccharides|Therapeutic Uses			[]	Calciparine|Eparina|Heparinate|Heparinic acid|Liquaemin|Panheprin|Unfractionated heparin	T2410KM04A	M4F288ZCTR|ZZ45AB24CA	Drugs Product Database (DPD):11364|Drugs Product Database (DPD):9060|Drugs Product Database (DPD):9045|ChEBI:28304|PubChem Substance:46507594|KEGG Compound:C00374|PharmGKB:PA449855|Therapeutic Targets Database:DAP000189|Wikipedia:Heparin|ChEMBL:CHEMBL1909300	Heparin calcium|Heparin sodium	Calcilean|Calciparine|Hep-lock|Hepalean|Heparin LEO|Liquaemin|Liquemin|Multiparin|Novoheparin						Unfractionated heparin (UH) is a heterogenous preparation of anionic, sulfated glycosaminoglycan polymers with weights ranging from 3000 to 30,000 Da. It is a naturally occurring anticoagulant released from mast cells. It binds reversibly to antithrombin III (ATIII) and greatly accelerates the rate at which ATIII inactivates coagulation enzymes thrombin (factor IIa) and factor Xa. UH is different from low molecular weight heparin (LMWH) in the following ways: the average molecular weight of LMWH is about 4.5 kDa whereas it is 15 kDa for UH; UH requires continuous infusions; activated partial prothrombin time (aPTT) monitoring is required when using UH; and UH has a higher risk of bleeding and higher risk of osteoporosis in long term use. Unfractionated heparin is more specific than LMWH for thrombin. Furthermore, the effects of UH can typically be reversed by using protamine sulfate.
DB01152	Candicidin	small molecule	['withdrawn']	['G01AA04']	Anti-Bacterial Agents|Anti-Infective Agents|Antifungal Agents|Chemical Actions and Uses|Genito Urinary System and Sex Hormones|Gynecological Antiinfectives and Antiseptics|Lactones|Macrocyclic Compounds|Macrolides|Organic Chemicals|Pharmacologic Actions|Polycyclic Compounds|Polyketides|Therapeutic Uses			[]	Candicidina|Candicidine|Candicidinum|Candizidin	48N2IYJ202	[]	ChEBI:354984|PubChem Compound:441142|PubChem Substance:46504812|KEGG Compound:C06690|KEGG Drug:D03347|ChemSpider:10128184|PharmGKB:PA164754911|Therapeutic Targets Database:DAP001325|Wikipedia:Candicidin|ChEMBL:CHEMBL1200647	[]	Candicidin A|Candicidin D|FR-008-III|Prostatin						Candicidin is an antibiotic obtained from a streptomyces (Streptomyces griseus) and active against some fungi of the genus Candida (C. albicans). Candicidin is administered intravaginally in the treatment of vulvovaginal candidiasis.
DB01257	Eculizumab	biotech	approved|investigational	['L04AA25']	Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antineoplastic and Immunomodulating Agents|Blood Proteins|Globulins|Immunoglobulins|Immunoproteins|Immunosuppressive Agents|Proteins|Selective Immunosuppressants|Serum Globulins			[]	['5G1.1']	A3ULP0F556	[]	Drugs Product Database (DPD):20432|PharmGKB:PA164776637|Therapeutic Targets Database:DAP000967|Wikipedia:Eculizumab|ChEMBL:CHEMBL1201828	[]	[]						Soliris is a formulation of eculizumab which is a recombinant humanized monoclonal IgG2/4;&kappa; antibody produced by murine myeloma cell culture and purified by standard bioprocess technology. Eculizumab contains human constant regions from human IgG2 sequences and human IgG4 sequences and murine complementarity-determining regions grafted onto the human framework light- and heavy-chain variable regions. Eculizumab is composed of two 448 amino acid heavy chains and two 214 amino acid light chains and has a molecular weight of approximately 148 kDa.
DB01266	Sinecatechins	small molecule	approved|nutraceutical	['D06BB12']	Antiviral Agents|Dermatologicals			[]	['Kunecatechins']	T432289GYZ	[]	Drugs Product Database (DPD):22143|PharmGKB:PA164749508	[]	[]						Sinecatechins is a botanical drug product for topical use. It is a partially purified fraction of the water extract of green tea leaves from Camellia sinensis, and is a mixture of catechins and other green tea components. Catechins constitute 85 to 95% (by weight) of the total drug substance which includes more than 55% of Epigallocatechin gallate (EGCg), other catechin derivatives such as Epicatechin (EC), Epigallocatechin (EGC), Epicatechin gallate (ECg) and some additional minor catechin derivatives i.e. Gallocatechin gallate (GCg), Gallocatechin (GC), Catechin gallate (Cg), and Catechin (C). In addition to the known catechin components, it also contains gallic acid, caffeine, and theobromine which together constitute about 2.5% of the drug substance. The remaining amount of the drug substance contains undefined botanical constituents derived from green tea leaves.
DB01269	Panitumumab	biotech	approved|investigational	['L01XC08']	Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Blood Proteins|Colonic Neoplasms|Globulins|Immunoglobulins|Immunoproteins|Proteins|Receptor, Epidermal Growth Factor|Serum Globulins			[]	['ABX-EGF']	6A901E312A	[]	Drugs Product Database (DPD):20210|PharmGKB:PA162373091|UniProtKB:P01859|Therapeutic Targets Database:DNC000135|Wikipedia:Panitumumab|ChEMBL:CHEMBL1201827	[]	[]						Panitumumab (ABX-EGF) is a recombinant human IgG2 monoclonal antibody that binds specifically to the human epidermal growth factor receptor (EGFR). This drug is an antineoplastic agent.
DB01323	St. John's Wort	small molecule	['nutraceutical']	['N06AX25']	Antidepressive Agents|Combined Inducers of CYP3A4 and P-glycoprotein|Cytochrome P-450 CYP3A Inducers|Cytochrome P-450 CYP3A4 Inducers (strong)|Nervous System|P-glycoprotein/ABCB1 Inducers|Psychoanaleptics			[]	Common st johnswort flowering top|Common st. john's wort flowering top|Common st. john's wort herb|Common st. johnswort flowering top|Guanyejinsitao|Hyperici herba|Hypericum nachitschevanicum flowering top|Hypericum perforatum flowering top|Hypoxis hemerocallidea root extract|Klamath weed flowering top|Klamathweed flowering top|Saint johns wort|St john's wort|St Johns Wort|St. johns wort|St. johnswort flowering top	UFH8805FKA	[]	PharmGKB:PA164924486|Wikipedia:St_John%27s_wort	[]	[]						
DB01341	Dihydroquinidine barbiturate	small molecule	['experimental']	[]	[]			[]	[]		[]	[]	[]	[]						
DB01344	Tolevamer	small molecule	['approved']	['V03AE01']	Benzene Derivatives|Benzylidene Compounds|Biomedical and Dental Materials|Cation Exchange Resins|Chelating Agents|Chemical Actions and Uses|Drugs for Treatment of Hyperkalemia and Hyperphosphatemia|Hydrocarbons|Hydrocarbons, Aromatic|Hydrocarbons, Cyclic|Ion Exchange Resins|Laboratory Chemicals|Macromolecular Substances|Manufactured Materials|Molecular Mechanisms of Pharmacological Action|Organic Chemicals|Pharmacologic Actions|Plastics|Polymers|Sequestering Agents|Specialty Uses of Chemicals|Styrene|Styrenes|Technology, Industry, and Agriculture			[]	poly(styrene-4-sulfonic acid)|Polystyrene sulfonate|Polystyrene sulfonic acid|polystyrenesulfonic acid	ZSL2FB6GXN	HUI2S00793|4A5OM7PI18|185M5I2ZZN	Drugs Product Database (DPD):2089|Drugs Product Database (DPD):4028|ChEBI:53278|PubChem Compound:169893|PubChem Substance:46507832|PharmGKB:PA164749386|Wikipedia:Polystyrene_sulfonate	Tolevamer calcium|Tolevamer potassium sodium|Tolevamer sodium	Resonium A|Sorbisterit						Sodium polystyrene sulfonate is a medication used to treat abnormally high potassium levels. It may be taken orally or by rectum, as an enema, and functions as a potassium-binding resin in the intestines. It is also an effective topical microbicide and spermicide, inhibiting the genital transfection of, among others, HIV. [Wikipedia]
DB01363	Ephedra	small molecule	approved|nutraceutical|withdrawn	[]	Alpha2 Agonists|Beta2 Agonists			[]	Chinese jointfir|Indian jointfir|Ma huang	D0P20CT40D	[]	Drugs Product Database (DPD):2586|Drugs Product Database (DPD):3718|Drugs Product Database (DPD):8944|PharmGKB:PA164777031|Wikipedia:Ephedra	[]	Ephedra vulgaris|Sinueaze						Ephedra is an alkaloid chemical compound traditionally obtained from the plant <i>Ephedra sinica</i>. The sale of ephedra-containing supplements was banned in the United States in 2004. The drug is still sold in Canada in OTC formulations.
DB01381	Ginkgo biloba	small molecule	approved|nutraceutical	N06DA53|N06DX02	Anti-Dementia Drugs|Cytochrome P-450 CYP2C9 Inhibitors|Nervous System|Psychoanaleptics			[]	Adiantifolia |Bai Guo Ye|Baiguo|Fossil Tree|Ginkgo Folium|Herba Ginkgo Biloba|Japanese Silver Apricot|Kew Tree|Maidenhair Tree|Pei Go Su Ye|Salisburia Adiantifolia|Yen Xing|Yinhsing	8CQ734K3W7	[]	Drugs Product Database (DPD):1522|PharmGKB:PA449758|Wikipedia:Ginkgo_biloba	[]	[]						The extract of the Ginkgo leaves contains flavonoid glycosides and terpenoids (ginkgolides, bilobalides) and has been used pharmaceutically for hundreds of years. It has many alleged nootropic properties, and is mainly used as memory and concentration enhancer, and anti-vertigo agent. Ginkgo extract seems to have three effects on the human body: it improves blood flow (including microcirculation in small capillaries) to most tissues and organs; it protects against oxidative cell damage from free radicals; and it blocks many of the effects of PAF (platelet aggregation, blood clotting) that have been related to the development of a number of cardiovascular, renal, respiratory and CNS (Central Nervous System) disorders.
DB01404	Ginseng	small molecule	approved|nutraceutical	[]	[]			[]	Aralia ginseng root|Asian ginseng|Asian ginseng root|Chinese ginseng root|Ginseng (panax ginseng)|Ginseng extract|Ginseng, asian|Hong shen root|Insam root|Korean ginseng|Korean ginseng root|Ninjin root|Panax ginseng|Panax ginseng root|Panax ginseng root extract|Panax schinseng root|Panax verus root|Red ginseng|Ren seng root|Ren shen|Ren shen root|True ginseng root	CUQ3A77YXI	[]	Drugs Product Database (DPD):4461|PharmGKB:PA164781150|Wikipedia:Ginseng	[]	[]						Ginseng is promoted as an adaptogen (a product that increases the body's resistance to stress), one which can to a certain extent be supported with reference to its anticarcinogenic and antioxidant properties. Ginseng is also known to contain phytoestrogens.
