hpo id 	 hpo name 	 umls cui 
HP:0000315	abnormality of the orbital region	C4025863
HP:0000316	hypertelorism	C0020534
HP:0000317	facial myokymia	C0270871
HP:0000319	smooth philtrum	C1142533
HP:0000320	bird-like facies	C1837758
HP:0000321	square face	C1832127
HP:0000322	short philtrum	C1861324
HP:0000324	facial asymmetry	C1306710
HP:0000325	triangular face	C1835884
HP:0000326	abnormality of the maxilla	C4025862
HP:0000327	hypoplasia of the maxilla	C0240310|C4082243|C4280640|C4280641|C4280642|C4280643
HP:0000329	facial hemangioma	C1861443
HP:0000331	short chin	C1839323|C3697248
HP:0000336	prominent supraorbital ridges	C1842060|C4280636|C4280637|C4280638|C4280639
HP:0000337	broad forehead	C1849089
HP:0000338	hypomimic face	C0813217|C1862474|C4280635
HP:0000339	pugilistic facies	C1846011
HP:0000340	sloping forehead	C1857679
HP:0000341	narrow forehead	C1839758
HP:0000343	long philtrum	C1865014
HP:0000346	whistling appearance	C1848473
HP:0000347	micrognathia	C0025990|C0240295|C1857130
HP:0000348	high forehead	C0239676|C2677762
HP:0000349	widows peak	C1853486
HP:0000350	small forehead	C1845250|C4280633|C4280634
HP:0000356	abnormality of the outer ear	C0266589|C1846460
HP:0000357	abnormal location of ears	C4021810
HP:0000358	posteriorly rotated ears	C0431478
HP:0000359	abnormality of the inner ear	C4021809
HP:0000360	tinnitus	C0040264
HP:0000362	otosclerosis	C0029899
HP:0000363	abnormality of earlobe	C4021808
HP:0000364	hearing abnormality	C4025860
HP:0000365	hearing impairment	C0011053|C0018772|C0339789|C1384666
HP:0000366	abnormality of the nose	C0240547|C0265736|C2235909
HP:0000368	low-set, posteriorly rotated ears	C1857486
HP:0000369	low-set ears	C0239234
HP:0000370	abnormality of the middle ear	C1861141
HP:0000372	abnormality of the auditory canal	C4021807
HP:0000375	abnormality of cochlea	C4025858
HP:0000376	incomplete partition of the cochlea type ii	C1857078|C4025857
HP:0000377	abnormality of the pinna	C0431483|C0857379
HP:0000378	cupped ear	C1845447|C4020892
HP:0000381	stapes ankylosis	C1861326
HP:0000383	abnormality of periauricular region	C4025856
HP:0000384	preauricular skin tag	C1860816|C4072826
HP:0000385	small earlobe	C1842680
HP:0000387	absent earlobe	C1849364
HP:0000388	otitis media	C0029882
HP:0000389	chronic otitis media	C0271441|C0743359
HP:0000391	thickened helices	C1837732
HP:0000394	lop ear	C0266614
HP:0000395	prominent antihelix	C1845272
HP:0000396	overfolded helix	C1837731
HP:0000399	prelingual sensorineural hearing impairment	C4021806
HP:0000400	macrotia	C0152421|C0554972|C1835581|C1848570|C1850189|C1855062|C1860838
HP:0000402	stenosis of the external auditory canal	C0395837|C0576860
HP:0000403	recurrent otitis media	C0747085
HP:0000405	conductive hearing impairment	C0018777
HP:0000407	sensorineural hearing impairment	C0018784
HP:0000408	progressive sensorineural hearing impairment	C1843156
HP:0000410	mixed hearing impairment	C0155552
HP:0000411	protruding ear	C1305420|C1855285
HP:0000413	atresia of the external auditory canal	C1398325|C1840305|C1857079|C1866190
HP:0000414	bulbous nose	C0240543|C1834118|C1855751
HP:0000417	slender nose	C1857645
HP:0000418	narrow nasal ridge	C1837761
HP:0000420	short nasal septum	C1844857
HP:0000421	epistaxis	C0014591
HP:0000422	abnormality of the nasal bridge	C4021805
HP:0000426	prominent nasal bridge	C1854113|C4230640
HP:0000430	underdeveloped nasal alae	C1834055
HP:0000431	wide nasal bridge	C1839764|C1849367
HP:0000433	abnormality of the nasal mucosa	C4025854
HP:0000434	nasal mucosa telangiectasia	C4025853
HP:0000437	depressed nasal tip	C1859717
HP:0000444	convex nasal ridge	C0240538
HP:0000445	wide nose	C0426421
HP:0000446	narrow nasal bridge	C0426422|C4020891|C4280630
HP:0000447	pear-shaped nose	C1853482
HP:0000448	prominent nose	C0426415|C1400105|C4280629
HP:0000451	triangular nasal tip	C1839765
HP:0000452	choanal stenosis	C0584837
HP:0000453	choanal atresia	C0008297
HP:0000454	flared nostrils	C0277873
HP:0000455	broad nasal tip	C0426429
HP:0000456	bifid nasal tip	C0426428|C4020890
HP:0000457	depressed nasal ridge	C1842876
HP:0000458	anosmia	C0003126
HP:0000460	narrow nose	C0426422
HP:0000463	anteverted nares	C1840077
HP:0000464	abnormality of the neck	C0266623|C0575167|C4280628
HP:0000465	webbed neck	C0221217
HP:0000466	limited neck range of motion	C1859212
HP:0000467	neck muscle weakness	C0240479
HP:0000468	increased adipose tissue around the neck	C4025850
HP:0000470	short neck	C0521525
HP:0000471	gastrointestinal angiodysplasia	C0854242
HP:0000472	long neck	C1839816
HP:0000473	torticollis	C0040485|C0152116|C0949445
HP:0000474	thickened nuchal skin fold	C1836940
HP:0000475	broad neck	C1853638
HP:0000476	cystic hygroma	C0206620
HP:0000478	abnormality of the eye	C0015393|C0015397
HP:0000479	abnormal retinal morphology	C0035300|C0035309
HP:0000480	retinal coloboma	C0240896
HP:0000481	abnormality of the cornea	C1855670|C4020889
HP:0000482	microcornea	C0266544|C1167713
HP:0000483	astigmatism	C0004106
HP:0000484	hyperopic astigmatism	C1847524
HP:0000485	megalocornea	C0344530|C1167712
HP:0000486	strabismus	C0038379
HP:0000487	congenital strabismus	C0521579
HP:0000488	retinopathy	C0035309
HP:0000490	deeply set eye	C0014306|C0423224
HP:0000491	keratitis	C0022568
HP:0000492	abnormality of the eyelid	C4021803
HP:0000493	abnormality of the fovea	C4025849
HP:0000494	downslanted palpebral fissures	C0423110
HP:0000495	recurrent corneal erosions	C0010043|C0155119|C4020888
HP:0000496	abnormality of eye movement	C0497202
HP:0000498	blepharitis	C0005741|C0339063
HP:0000499	abnormality of the eyelashes	C2675111
HP:0000501	glaucoma	C0017601
HP:0000502	abnormality of the conjunctiva	C4025847
HP:0000503	tortuosity of conjunctival vessels	C1855391
HP:0000504	abnormality of vision	C4025846
HP:0000505	visual impairment	C0042798|C3665347
HP:0000506	telecanthus	C0423113
HP:0000508	ptosis	C0005745
HP:0000509	conjunctivitis	C0009763|C1864156
HP:0000510	rod-cone dystrophy	C0035334
HP:0000511	vertical supranuclear gaze palsy	C0339652|C1843369
HP:0000512	abnormal electroretinogram	C0476397
HP:0000514	slow saccadic eye movements	C1321329
HP:0000518	cataract	C0086543|C1510497
HP:0000519	congenital cataract	C0009691|C3277059
HP:0000520	proptosis	C0015300|C1837760|C1848490|C1862425
HP:0000522	alacrima	C0344505
HP:0000523	subcapsular cataract	C0235259
HP:0000524	conjunctival telangiectasia	C0239105
HP:0000525	abnormality of the iris	C4025845
HP:0000526	aniridia	C0003076
HP:0000527	long eyelashes	C1853738
HP:0000528	anophthalmia	C0003119
HP:0000529	progressive visual loss	C1839364|C3277697
HP:0000531	corneal crystals	C1096610
HP:0000532	chorioretinal abnormality	C4025844
HP:0000533	chorioretinal atrophy	C4048273
HP:0000534	abnormality of the eyebrow	C4011556
HP:0000535	sparse and thin eyebrow	C1832446
HP:0000537	epicanthus inversus	C1303003
HP:0000538	pseudopapilledema	C0155300
HP:0000539	abnormality of refraction	C4025843
HP:0000540	hypermetropia	C0020490
HP:0000541	retinal detachment	C0035305
HP:0000542	impaired ocular adduction	C1846463
HP:0000543	optic disc pallor	C0554970
HP:0000544	external ophthalmoplegia	C0162292|C0162674
HP:0000545	myopia	C0027092
HP:0000546	retinal degeneration	C0035304
HP:0000547	tapetoretinal degeneration	C0035334
HP:0000548	cone/cone-rod dystrophy	C0035334|C0730290|C4072827
HP:0000549	abnormal conjugate eye movement	C1845274
HP:0000550	undetectable electroretinogram	C1855685
HP:0000551	abnormality of color vision	C0009398|C0234629|C3552853
HP:0000552	tritanomaly	C0155017|C1970167
HP:0000554	uveitis	C0042164
HP:0000555	leukocoria	C0152458
HP:0000556	retinal dystrophy	C0854723
HP:0000557	buphthalmos	C0020302|C0423221
HP:0000558	rieger anomaly	C0265341
HP:0000559	corneal scarring	C0349702
HP:0000561	absent eyelashes	C1843005|C4280626|C4280627
HP:0000563	keratoconus	C0022578
HP:0000564	lacrimal duct atresia	C0344511
HP:0000565	esotropia	C0014877
HP:0000567	chorioretinal coloboma	C0240896
HP:0000568	microphthalmia	C0026010|C4280625|C4280808
HP:0000570	abnormality of saccadic eye movements	C1842584|C4025841
HP:0000571	hypometric saccades	C0423082
HP:0000572	visual loss	C3665386
HP:0000573	retinal hemorrhage	C0035317
HP:0000574	thick eyebrow	C1853487
HP:0000575	scotoma	C0036454|C0344233
HP:0000576	centrocecal scotoma	C0271196
HP:0000577	exotropia	C0015310
HP:0000579	nasolacrimal duct obstruction	C0022906|C1281931
HP:0000580	pigmentary retinopathy	C0035334
HP:0000581	blepharophimosis	C0005744
HP:0000582	upslanted palpebral fissure	C0423109
HP:0000584	punctate corneal epithelial erosions	C1832170
HP:0000585	band keratopathy	C0155120
HP:0000586	shallow orbits	C1865244
HP:0000587	abnormality of the optic nerve	C0029131
HP:0000588	optic nerve coloboma	C0155299
HP:0000589	coloboma	C0009363
HP:0000590	progressive external ophthalmoplegia	C0162674
HP:0000591	abnormality of the sclera	C4025840
HP:0000592	blue sclerae	C0542514
HP:0000593	abnormality of the anterior chamber	C3152182
HP:0000594	shallow anterior chamber	C0423276
HP:0000597	ophthalmoparesis	C0751401
HP:0000598	abnormality of the ear	C0266589
HP:0000600	abnormality of the pharynx	C4025838
HP:0000601	hypotelorism	C0424711
HP:0000602	ophthalmoplegia	C0029089
HP:0000603	central scotoma	C0152191|C4280624
HP:0000605	supranuclear gaze palsy	C1720037
HP:0000607	periorbital wrinkles	C1844605
HP:0000608	macular degeneration	C0024437
HP:0000609	optic nerve hypoplasia	C0338502
HP:0000610	abnormality of the choroid	C0008521|C4025836
HP:0000612	iris coloboma	C0240063
HP:0000613	photophobia	C0085636|C4020887
HP:0000614	abnormality of the nasolacrimal system	C4025835
HP:0000615	abnormality of the pupil	C0154936
HP:0000616	miosis	C0026205
HP:0000617	abnormality of ocular smooth pursuit	C1836393
HP:0000618	blindness	C0271215|C0456909
HP:0000619	impaired convergence	C0271379
HP:0000620	dacryocystitis	C0010930
HP:0000621	entropion	C0014390
HP:0000622	blurred vision	C0344232
HP:0000623	supranuclear ophthalmoplegia	C1408507
HP:0000625	cleft eyelid	C0521573
HP:0000627	posterior embryotoxon	C0344531|C0546967
HP:0000629	periorbital fullness	C1858036
HP:0000630	abnormal retinal artery morphology	C4021802
HP:0000632	lacrimation abnormality	C4021801
HP:0000633	decreased lacrimation	C0235857
HP:0000634	impaired ocular abduction	C1846462
HP:0000635	blue irides	C0578626
HP:0000636	upper eyelid coloboma	C1863872
HP:0000637	long palpebral fissure	C1849340
HP:0000639	nystagmus	C0028738
HP:0000640	gaze-evoked nystagmus	C0271390
HP:0000641	dysmetric saccades	C1836392
HP:0000642	red-green dyschromatopsia	C0155016|C1970168
HP:0000643	blepharospasm	C0005747
HP:0000646	amblyopia	C0002418
HP:0000647	sclerocornea	C1853235
HP:0000648	optic atrophy	C0029124
HP:0000649	abnormality of visual evoked potentials	C0522214
HP:0000650	abnormal amplitude of pattern reversal visual evoked potentials	C4025834
HP:0000651	diplopia	C0012569
HP:0000652	lower eyelid coloboma	C1837826
HP:0000653	sparse eyelashes	C1843300
HP:0000654	decreased light- and dark-adapted electroretinogram amplitude	C1839025
HP:0000655	vitreoretinal degeneration	C0344290
HP:0000656	ectropion	C0013592
HP:0000657	oculomotor apraxia	C3489733|C4020886
HP:0000658	eyelid apraxia	C1142448
HP:0000659	peters anomaly	C0344559
HP:0000660	lipemia retinalis	C0339477
HP:0000661	palpebral fissure narrowing on adduction	C1846465
HP:0000662	nyctalopia	C0028077|C4020885
HP:0000664	synophrys	C0431447
HP:0000666	horizontal nystagmus	C0271385
HP:0000667	phthisis bulbi	C0271007
HP:0000668	hypodontia	C0020608
HP:0000670	carious teeth	C0011334|C4280623
HP:0000674	anodontia	C0399352|C4280622
HP:0000675	macrodontia of permanent maxillary central incisor	C1835095|C4280263|C4280620|C4280621
HP:0000676	abnormality of the incisor	C4025833
HP:0000677	oligodontia	C4082304|C4280619
HP:0000678	dental crowding	C0040433|C1317785|C4280617|C4280618
HP:0000679	taurodontia	C0266039|C4280616
HP:0000680	delayed eruption of primary teeth	C1849538
HP:0000682	abnormality of dental enamel	C4021800|C4280262|C4280615
HP:0000683	grayish enamel	C1854783
HP:0000684	delayed eruption of teeth	C0239174
HP:0000685	hypoplasia of teeth	C0235357|C4280611
HP:0000687	widely spaced teeth	C1844813
HP:0000689	dental malocclusion	C0024636|C4280613|C4280614
HP:0000690	agenesis of maxillary lateral incisor	C1849950|C4083046
HP:0000691	microdontia	C0240340|C4280611|C4280612
HP:0000692	misalignment of teeth	C1852504|C4280610
HP:0000694	shell teeth	C2981132
HP:0000695	natal tooth	C0027443
HP:0000696	delayed eruption of permanent teeth	C1849540
HP:0000698	conical tooth	C0266037|C4012359
HP:0000699	diastema	C0011998
HP:0000700	periapical bone loss	C0031029|C0034543|C1852169|C4280609
HP:0000703	dentinogenesis imperfecta	C0011436
HP:0000704	periodontitis	C0017563|C0031090|C0031099
HP:0000705	amelogenesis imperfecta	C0002452
HP:0000706	unerupted tooth	C1290587
HP:0000707	abnormality of the nervous system	C0497552
HP:0000708	behavioral abnormality	C0004941|C0233514
HP:0000709	psychosis	C0033975
HP:0000710	hyperorality	C1838320
HP:0000711	restlessness	C3887611
HP:0000712	emotional lability	C0085633
HP:0000713	agitation	C0085631
HP:0000716	depressivity	C0011581
HP:0000717	autism	C0004352
HP:0000718	aggressive behavior	C0001807|C0424323|C1457883
HP:0000719	inappropriate behavior	C0233522
HP:0000720	mood swings	C0085633
HP:0000721	lack of spontaneous play	C1837650
HP:0000722	obsessive-compulsive behavior	C0028768|C0600104
HP:0000723	restrictive behavior	C2675334|C4021799
HP:0000725	psychotic episodes	C0338614
HP:0000726	dementia	C0497327
HP:0000727	frontal lobe dementia	C0338455
HP:0000728	impaired ability to form peer relationships	C1837649
HP:0000729	autistic behavior	C0856975|C1510586
HP:0000732	inflexible adherence to routines or rituals	C1837653
HP:0000733	stereotypy	C0038271|C0038273
HP:0000734	disinhibition	C0424296
HP:0000735	impaired social interactions	C0150080
HP:0000736	short attention span	C0262630
HP:0000737	irritability	C2700617
HP:0000738	hallucinations	C0018524|C0235153
HP:0000739	anxiety	C0003467|C4020884
HP:0000740	episodic paroxysmal anxiety	C1854339
HP:0000741	apathy	C0085632
HP:0000742	self-mutilation	C0036601
HP:0000743	frontal release signs	C1833297
HP:0000744	low frustration tolerance	C0548883
HP:0000746	delusions	C0011253
HP:0000748	inappropriate laughter	C0424304
HP:0000749	paroxysmal bursts of laughter	C1839749
HP:0000750	delayed speech and language development	C0023012|C0233715|C0241210|C0454644
HP:0000751	personality changes	C0240735
HP:0000752	hyperactivity	C0424295
HP:0000753	autism with high cognitive abilities	C4025832
HP:0000756	agoraphobia	C0001818
HP:0000757	lack of insight	C0233824
HP:0000758	impaired use of nonverbal behaviors	C4021798
HP:0000759	abnormal peripheral nervous system morphology	C0031117|C4025831
HP:0000762	decreased nerve conduction velocity	C1857640
HP:0000763	sensory neuropathy	C0151313
HP:0000764	peripheral axonal degeneration	C4025830
HP:0000765	abnormality of the thorax	C4021797
HP:0000766	abnormality of the sternum	C1860493
HP:0000767	pectus excavatum	C2051831
HP:0000768	pectus carinatum	C0158731
HP:0000769	abnormality of the breast	C4025829
HP:0000771	gynecomastia	C0018418
HP:0000772	abnormality of the ribs	C1842083
HP:0000773	short ribs	C0426817
HP:0000774	narrow chest	C0426790
HP:0000775	abnormality of the diaphragm	C1848873
HP:0000776	congenital diaphragmatic hernia	C0235833
HP:0000777	abnormality of the thymus	C0262650|C0685891
HP:0000778	hypoplasia of the thymus	C0685891|C4228227
HP:0000782	abnormality of the scapula	C4025828
HP:0000786	primary amenorrhea	C0232939
HP:0000787	nephrolithiasis	C0392525
HP:0000789	infertility	C0021359
HP:0000790	hematuria	C0018965
HP:0000791	uric acid nephrolithiasis	C0403719
HP:0000793	membranoproliferative glomerulonephritis	C0017662
HP:0000794	iga deposition in the glomerulus	C0017661|C4025827
HP:0000795	abnormality of the urethra	C4025826
HP:0000796	urethral obstruction	C0041972
HP:0000798	oligospermia	C0028960
HP:0000799	renal steatosis	C4021796
HP:0000800	cystic renal dysplasia	C1834931
HP:0000802	impotence	C0242350
HP:0000803	renal cortical cysts	C1969144
HP:0000804	xanthine nephrolithiasis	C1848431
HP:0000805	enuresis	C0014394
HP:0000807	glandular hypospadias	C0452168
HP:0000808	penoscrotal hypospadias	C0452147
HP:0000811	abnormal external genitalia	C4025825
HP:0000812	abnormal internal genitalia	C4025824
HP:0000813	bicornuate uterus	C0266387
HP:0000815	hypergonadotropic hypogonadism	C0948896
HP:0000816	abnormality of krebs cycle metabolism	C4021795
HP:0000817	poor eye contact	C1445953
HP:0000818	abnormality of the endocrine system	C0014130|C4025823
HP:0000819	diabetes mellitus	C0011849
HP:0000820	abnormality of the thyroid gland	C0040128
HP:0000821	hypothyroidism	C0020676
HP:0000822	hypertension	C0020538|C0497247
HP:0000823	delayed puberty	C0034012
