chemical	name	molecular_weight	SMILES_string
CIDs00000896	melatonin	232.27834	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
CIDs00000923	sodium	22.989769	[Na+]
CIDs00000937	niacin	122.10146	C1=CC(=CN=C1)C(=O)[O-]
CIDs00000942	Nicorette	162.23156	CN1CCCC1C2=CN=CC=C2
CIDs00000946	nitrite ion	46.0055	N(=O)[O-]
CIDs00000948	nitrous oxide	44.0128	N#[N+][O-]
CIDs00000961	distilled water	17.00734	[OH-]
CIDs00001003	phosphate	96.987242	OP(=O)(O)[O-]
CIDs00001023	pyrophosphate	177.975084	OP(=O)(O)OP(=O)(O)O
CIDs00001046	pyrazinamide	123.1127	C1=CN=C(C=N1)C(=O)N
CIDs00001054	pyridoxine	169.17784	CC1=NC=C(C(=C1O)CO)CO
CIDs00001084	thiosulfate	112.1282	[O-]S(=O)(=S)[O-]
CIDs00001125	tetrahydrobiopterin	241.2471	CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O
CIDs00001130	thiamine	265.35458	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
CIDs00001292	PPCM	152.14732	C1=CC=C(C=C1)C(C(=O)O)O
CIDs00001690	4-epidoxorubicin	544.5272	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)[NH3+])O
CIDs00001727	4-aminopyridine	94.11454	C1=CN=CC=C1N
CIDs00001775	phenytoin	252.26798	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
CIDs00001978	acebutolol	336.42592	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
CIDs00001983	paracetamol	151.16256	CC(=O)NC1=CC=C(C=C1)O
CIDs00001986	acetazolamide	222.24544	CC(=O)NC1=NN=C(S1)S(=O)(=O)N
CIDs00001990	acetohydroxamic acid	75.0666	CC(=O)NO
CIDs00001993	methacholine	160.23402	CC(C[N+](C)(C)C)OC(=O)C
CIDs00002019	actinomycin D	1255.41704	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
CIDs00002022	acyclovir	225.20464	C1=NC2=C(N1COCCO)NC(=NC2=O)N
CIDs00002082	albendazole	265.3314	CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
CIDs00002083	salbutamol	239.31074	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
CIDs00002088	alendronate	249.096044	C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
CIDs00002092	alfuzosin	389.44878	CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
CIDs00002094	allopurinol	136.11146	C1=C2C(=NC=NC2=O)NN1
CIDs00002099	alosetron	294.35102	CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
CIDs00002118	alprazolam	308.76492	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
CIDs00002123	hexamethylmelamine	210.27942	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
CIDs00002130	amantadine	151.24868	C1C2CC3CC1CC(C2)(C3)N
CIDs00002140	Hypaque	613.91357	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
CIDs00002141	amifostine	214.222962	C(CN)CNCCSP(=O)(O)O
CIDs00002145	aminoglutethimide	232.27834	CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
CIDs00002148	p-aminohippurate	194.1873	C1=CC(=CC=C1C(=O)NCC(=O)O)N
CIDs00002153	theophylline	180.16402	CN1C2=C(C(=O)N(C1=O)C)NC=N2
CIDs00002156	amiodarone	646.31954	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I
CIDs00002159	amisulpride	369.47898	CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
CIDs00002160	amitriptyline	277.40332	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CIDs00002161	amlexanox	298.29336	CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
CIDs00002162	amlodipine	408.8759	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
CIDs00002163	amobarbital	225.26428	CCC1(C(=O)NC(=NC1=O)[O-])CCC(C)C
CIDs00002170	amoxapine	313.78144	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
CIDs00002179	amsacrine	393.45886	COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
CIDs00002182	anagrelide	256.08808	C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31
CIDs00002187	anastrozole	293.36626	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
CIDs00002216	apraclonidine	245.1085	C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
CIDs00002244	aspirin	180.15742	CC(=O)OC1=CC=CC=C1C(=O)O
CIDs00002249	atenolol	266.33608	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CIDs00002265	azathioprine	277.26258	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
CIDs00002266	azelaic acid	188.22094	C(CCCC(=O)O)CCCC(=O)O
CIDs00002267	azelastine	381.89846	CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
CIDs00002284	baclofen	213.66078	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CIDs00002315	bendrofluazide	421.41457	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
CIDs00002337	benzocaine	165.18914	CCOC(=O)C1=CC=C(C=C1)N
CIDs00002341	benzphetamine	239.35534	CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2
CIDs00002345	benzyl ester	212.24388	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
CIDs00002349	penicillin	334.39012	CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
CIDs00002351	bepridil	366.53956	CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
CIDs00002366	betahistine	136.19428	CNCCC1=CC=CC=N1
CIDs00002369	betaxolol	307.42776	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
CIDs00002370	bethanechol	161.22208	CC(C[N+](C)(C)C)OC(=O)N
CIDs00002375	bicalutamide	430.373373	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
CIDs00002391	lacO	361.39056	CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
CIDs00002405	bisoprolol	325.44304	CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
CIDs00002431	bretylium	243.16338	CC[N+](C)(C)CC1=CC=CC=C1Br
CIDs00002435	brimonidine	292.1346	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
CIDs00002441	bromazepam	316.1527	C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
CIDs00002442	bromhexine	376.13	CN(CC1=CC(=CC(=C1N)Br)Br)C2CCCCC2
CIDs00002462	Turbuhaler	430.53386	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
CIDs00002471	bumetanide	364.4161	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
CIDs00002474	bupivacaine	288.42772	CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
CIDs00002477	buspirone	385.50314	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
CIDs00002478	busulfan	246.30176	CS(=O)(=O)OCCCCOS(=O)(=O)C
CIDs00002479	butabarbital	212.24564	CCC(C)C1(C(=O)NC(=O)NC1=O)CC
CIDs00002484	butenafine	317.46718	CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
CIDs00002519	caffeine	194.1906	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CIDs00002520	verapamil	454.60162	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CIDs00002524	1,25-dihydroxyvitamin D3	416.63646	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
CIDs00002540	candesartan cilexetil	610.65966	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
CIDs00002541	candesartan	440.454	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
CIDs00002551	carbachol	147.1955	C[N+](C)(C)CCOC(=O)N
CIDs00002554	carbamazepine	236.26858	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
CIDs00002564	carbinoxamine	290.78786	CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CIDs00002576	carisoprodol	260.32996	CCCC(C)(COC(=O)N)COC(=O)NC(C)C
CIDs00002578	BCNU	214.04986	C(CCl)NC(=O)N(CCCl)N=O
CIDs00002583	carteolol	292.37336	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
CIDs00002585	carvedilol	406.47424	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
CIDs00002610	cephadroxil	363.38828	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
CIDs00002617	sodium cefazolin	453.49922	CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-]
CIDs00002662	celecoxib	381.37217	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
CIDs00002663	celiprolol	379.49372	CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
CIDs00002678	cetirizine	388.8878	C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
CIDs00002708	chlorambucil	304.21216	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
CIDs00002712	chlordiazepoxide	299.75486	CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
CIDs00002719	chloroquine	319.87214	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
CIDs00002720	thiazide	295.72324	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
CIDs00002725	chlorpheniramine	274.78846	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CIDs00002726	chlorpromazine	318.86416	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
CIDs00002727	chlorpropamide	276.73982	CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
CIDs00002732	chlorthalidone	338.76614	C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
CIDs00002733	stealth	169.56516	C1=CC2=C(C=C1Cl)NC(=O)O2
CIDs00002749	ciclopirox	207.26888	CC1=CC(=O)N(C(=C1)C2CCCCC2)O
CIDs00002754	cilostazol	369.46068	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
CIDs00002756	cimetidine	252.33924	CC1=C(N=CN1)CSCCNC(=NC)NC#N
CIDs00002762	cinoxacin	262.2182	CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
CIDs00002764	ciprofloxacin	331.341523	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CIDs00002767	cisplatin	298.03516	[NH2-].[NH2-].Cl[Pt+2]Cl
CIDs00002771	citalopram	324.391943	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CIDs00002789	clobazam	300.73962	CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
CIDs00002794	clofazimine	473.39638	CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
CIDs00002801	clomipramine	314.85232	CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
CIDs00002802	clonazepam	315.7112	C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
CIDs00002803	clonidine	230.09386	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
CIDs00002809	clorazepate	314.72314	C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O
CIDs00002812	clotrimazole	344.83678	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
CIDs00002818	clozapine	326.82326	CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
CIDs00002881	sodium cromoglycate	466.35066	C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-]
CIDs00002895	cyclobenzaprine	275.38744	CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
CIDs00002905	cyclopentolate	291.3853	CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O
CIDs00002907	cyclophosphamide	261.085962	C1CNP(=O)(OC1)N(CCCl)CCCl
CIDs00002913	cyproheptadine	287.39814	CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
CIDs00002955	dapsone	248.30088	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
CIDs00002972	deferiprone	139.15186	CC1=C(C(=O)C=CN1C)O
CIDs00002973	deferoxamine	560.68402	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
CIDs00002995	desipramine	266.38068	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
CIDs00003007	amphetamine	135.20622	CC(CC1=CC=CC=C1)N
CIDs00003009	DFMO	182.168486	C(CC(C(F)F)(C(=O)O)N)CN
CIDs00003016	diazepam	284.74022	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
CIDs00003019	diazoxide	230.67138	CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
CIDs00003032	diclofenac	295.1407	C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl
CIDs00003038	dichlorphenamide	305.15884	C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
CIDs00003042	dicyclomine	309.4867	CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
CIDs00003043	2',3'-dideoxyinosine	236.22728	C1CC(OC1CO)N2C=NC3=C2NC=NC3=O
CIDs00003053	gadopentetate dimeglumine (Gd	393.34652	C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
CIDs00003059	diflunisal	250.197626	C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
CIDs00003080	dimercaprol	124.22502	C(C(CS)S)O
CIDs00003100	diphenhydramine	255.35474	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
CIDs00003105	dipivefrin	351.43726	CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C
CIDs00003108	dipyridamole	504.6256	C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
CIDs00003114	disopyramide	339.47446	CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
CIDs00003117	disulfiram	296.5392	CCN(CC)C(=S)SSC(=S)N(CC)CC
CIDs00003121	valproate	144.21144	CCCC(CCC)C(=O)O
CIDs00003151	domperidone	425.91126	C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
CIDs00003152	donepezil	379.49196	COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
CIDs00003154	AC1Q6UVC	324.44004	CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
CIDs00003156	doxapram	378.5072	CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4
CIDs00003157	doxazosin	451.4751	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
CIDs00003158	Z-doxepin	279.37614	CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
CIDs00003168	droperidol	379.427383	C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
CIDs00003182	diprophylline	254.24256	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
CIDs00003198	econazole	381.6835	C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
CIDs00003202	edrophonium	166.24014	CC[N+](C)(C)C1=CC(=CC=C1)O
CIDs00003219	emedastine	302.41454	CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)C
CIDs00003226	enflurane	184.492396	C(C(OC(F)F)(F)F)(F)Cl
CIDs00003241	epinastine	249.3104	C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N
CIDs00003261	estazolam	294.73834	C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
CIDs00003278	ethacrynic acid	303.13798	CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
CIDs00003279	Ethopian	204.30976	CCC(CO)NCCNC(CC)CO
CIDs00003291	ethosuximide	141.16774	CCC1(CC(=O)NC1=O)C
CIDs00003292	ethotoin	204.22518	CCN1C(=O)C(NC1=O)C2=CC=CC=C2
CIDs00003305	etidronate	206.028244	CC(O)(P(=O)(O)O)P(=O)(O)O
CIDs00003308	etodolac	287.35354	CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O
CIDs00003324	famciclovir	321.33176	CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
CIDs00003331	felbamate	238.23986	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
CIDs00003333	felodipine	384.25376	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
CIDs00003339	fenofibrate	360.83134	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
CIDs00003340	fenoldopam	306.76408	C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
CIDs00003342	fenoprofen	242.26986	CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
CIDs00003345	fentanyl	336.47052	CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
CIDs00003348	fexofenadine	501.65636	CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
CIDs00003354	flavoxate	391.4596	CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
CIDs00003355	flecainide	415.350659	C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
CIDs00003364	NSC-277175	453.871783	CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
CIDs00003365	fluconazole	306.270786	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
CIDs00003366	flucytosine	129.092463	C1=NC(=O)NC(=C1F)N
CIDs00003372	fluphenazine	437.52155	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
CIDs00003373	flumazenil	303.288363	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
CIDs00003380	flunitrazepam	313.283183	CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F
CIDs00003385	5-fluorouracil	130.077223	C1=C(C(=O)NC(=O)N1)F
CIDs00003386	fluoxetine	309.32613	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
CIDs00003388	fluphenazine decanoate	591.77087	CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
CIDs00003393	flurazepam	387.878223	CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
CIDs00003394	flurbiprofen	244.260923	CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
CIDs00003397	flutamide	276.21185	CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
CIDs00003406	4-methylpyrazole	82.10384	CC1=CNN=C1
CIDs00003410	formoterol	344.40486	CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
CIDs00003414	foscarnet	122.981462	C(=O)([O-])P(=O)([O-])[O-]
CIDs00003440	furosemide	330.74414	C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
CIDs00003446	gabapentin	171.23678	C1CCC(CC1)(CC(=O)O)CN
CIDs00003454	ganciclovir	255.23062	C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N
CIDs00003463	gemfibrozil	250.33338	CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
CIDs00003467	gentamicin	477.59542	CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
CIDs00003475	gliclazide	323.41054	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
CIDs00003476	glimepiride	490.61556	CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
CIDs00003478	glipizide	445.53518	CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
CIDs00003488	glibenclamide	494.00352	COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
CIDs00003494	glycopyrrolate	318.43052	C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C
CIDs00003510	granisetron	312.40936	CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
CIDs00003516	guaifenesin	198.21576	COC1=CC=CC=C1OCC(CO)O
CIDs00003517	adept	231.08192	C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl
CIDs00003519	guanfacine	246.09326	C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl
CIDs00003520	guanidinium	59.0705	C(=N)(N)N
CIDs00003559	haloperidol	375.864223	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
CIDs00003598	pre-op	406.90354	C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
CIDs00003623	homatropine hydrobromide	275.34284	CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O
CIDs00003637	hydralazine	160.17592	C1=CC=C2C(=C1)C=NN=C2NN
CIDs00003639	hydrochlorothiazide	297.73912	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
CIDs00003647	hydroflumethiazide	331.29203	C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
