rxnorm_cui 	 drugbank_ids with | as seperator  
8610	DB11061
61455	DB12523
2913	DB11846
508	DB11100
40230	DB11996
34625	DB12487
1011	DB09312
1426379	DB04167
3274	DB11076
1363050	DB12583
1368167	DB07810
21373	DB11191
19698	DB11279
20877	DB11121
54236	DB12877
1314227	DB12771
6781	DB13587
3000	DB13532
52358	DB13749
20217	DB11186
9774	DB12982
38022	DB12444
17939	DB04599
1544577	DB11371
22697	DB13679
7024	DB11137
29008	DB11231
4537	DB01942
253172	DB10533
1652103	DB11586
1546455	DB13014
25842	DB04564
3430	DB01775
16817	DB09055
62130	DB11143
61	DB03107
798266	DB10302
1311407	DB13110
4716	DB11242
89890	DB10805
34658	DB03766
66887	DB11124
4626	DB11735
55175	DB12278
11246	DB00162
630933	DB06205
1311500	DB09137
24941	DB01592
1372538	DB04485
27748	DB13813
2378	DB11386
1309247	DB11172
155060	DB03088
4570	DB04173
318224	DB10708
10528	DB11300
38574	DB02650
1492174	DB10558
29209	DB12751
1309741	DB04325
52105	DB01356
6762	DB13392
28817	DB01356
324072	DB11074
24912	DB13885
47589	DB12926
114052	DB02789
19777	DB12401
7712	DB02262
1312358	DB04630
1368871	DB03462
4271	DB12909
18846	DB09011
39990	DB13166
4453	DB02266
36344	DB11127
17614	DB13595
1545063	DB11644
1374	DB12783
17618	DB01370
22178	DB13886
25284	DB00255
28395	DB12942
10159	DB02772
350374	DB06756
1310171	DB12091
5920	DB09349
11274	DB13133
235473	DB01109
8513	DB11161
9771	DB11132
29410	DB12554
1796	DB13346
253206	DB13196
636827	DB13735
1311380	DB00038
285241	DB10344
38866	DB11079
5645	DB11341
39937	DB01593
25126	DB12553
19850	DB12230
7624	DB11338
2286	DB11073
46795	DB09001
91472	DB11088
59308	DB11255
33094	DB11198
5556	DB07118
6529	DB12474
223779	DB11107
196213	DB11257
56476	DB13180
58295	DB01593
28554	DB08939
7513	DB12787
34316	DB11090
39918	DB11176
1331	DB11150
24457	DB03994
8570	DB11060
8354	DB12492
38453	DB13064
91535	DB09293
9880	DB11151
8016	DB13198
1306107	DB00184
221050	DB10343
1367202	DB11997
2129	DB11113
3551	DB13694
89552	DB11304
37775	DB12343
321208	DB11728
221082	DB11286
4254	DB13150
47622	DB13231
4141	DB13259
56524	DB13707
24913	DB11171
9509	DB12418
125933	DB10631
38609	DB11155
807219	DB10803
606396	DB09532
854974	DB10328
798232	DB10288
42351	DB01356
10572	DB09100
615	DB11342
52918	DB12251
262307	DB07477
236741	DB00653
1909	DB11264
1310122	DB11109
1362697	DB11695
1390	DB11125
236911	DB11154
10938	DB11120
1311085	DB02134
8834	DB11312
1421151	DB09132
17305	DB13518
57047	DB12954
52356	DB11110
7892	DB11193
1305896	DB11149
89821	DB11111
37546	DB11770
319864	DB13450
82088	DB11097
39230	DB12661
314686	DB09456
11377	DB01904
87639	DB12407
52177	DB00873
21579	DB06778
4888	DB03266
2496	DB11136
196342	DB12905
50097	DB13136
6111	DB10535
1364277	DB11263
763100	DB10797
17747	DB04452
10890	DB11237
798306	DB10583
1700	DB11326
34318	DB09418
1483317	DB11123
3116	DB13352
1982	DB12221
54987	DB01345
10995	DB03419
1305661	DB11199
24246	DB12116
89903	DB13620
27084	DB11181
314718	DB01378
8984	DB11156
1372248	DB10523
9806	DB12604
2017	DB02329
6404	DB11357
11017	DB02745
16738	DB11696
90540	DB11916
968498	DB10580
28198	DB08940
9060	DB04216
901636	DB10297
3409	DB12945
34323	DB01345
29421	DB03614
12166	DB11220
54365	DB11106
8042	DB12710
36726	DB09499
23066	DB00707
33747	DB04574
7701	DB13026
2955	DB11672
52403	DB11141
33408	DB11160
34296	DB11098
1603521	DB11875
1311387	DB12029
37317	DB13416
6972	DB11057
89916	DB13163
1307732	DB11054
1433887	DB13873
1596934	DB10314
39952	DB06815
32987	DB11158
8559	DB11178
34822	DB13149
798444	DB10342
1306128	DB13906
1432293	DB11840
6227	DB11112
267366	DB00126
1293719	DB11159
10463	DB08621
1311280	DB12257
1114112	DB11051
5499	DB11091
1102188	DB11210
644718	DB11169
2062	DB11059
5975	DB13293
89785	DB11315
1347	DB00394
1705	DB11203
24947	DB13257
1378	DB11105
1039062	DB11599
35382	DB11085
1373	DB12867
300195	DB00300
55679	DB11738
22380	DB03600
26051	DB11323
135091	DB11675
1311224	DB04532
1406	DB11222
142131	DB13359
39085	DB11340
407906	DB11136
47686	DB11129
804179	DB10315
1353891	DB10502
1591890	DB02857
36434	DB13131
25953	DB03310
8637	DB12832
203219	DB11358
33770	DB02925
1373041	DB12277
1311225	DB12431
8196	DB12944
78484	DB06754
1984	DB12328
1344	DB12768
69627	DB11218
4648	DB12923
23638	DB12313
31958	DB12927
18451	DB06543
33219	DB11482
58300	DB11248
1000589	DB10997
139233	DB13786
314832	DB13157
36314	DB12834
27518	DB12545
2669	DB11321
32863	DB11190
35216	DB12780
1752	DB13281
1311611	DB10504
1441546	DB06728
236901	DB12656
