omim id 	 omim name 	 mondos 
OMIM:103470	#103470 albinism, ocular, with sensorineural deafness;;waardenburg syndrome, type 2, with ocular albinism, autosomal recessive;ws2-oa	MONDO:0018138
OMIM:103500	tietz syndrome	MONDO:0007077
OMIM:103580	#103580 pseudohypoparathyroidism, type ia; php1a;;php ia;;albright hereditary osteodystrophy with multiple hormone resistance	MONDO:0007078
OMIM:103780	alcohol dependence	MONDO:0007079|MONDO:0007079
OMIM:103900	glucocorticoid-remediable aldosteronism	MONDO:0007080
OMIM:103920	allergic bronchopulmonary aspergillosis	MONDO:0015243
OMIM:104000	alopecia areata 1	MONDO:0007082
OMIM:104100	alopecia congenita with keratosis palmoplantaris	MONDO:0007083
OMIM:104110	alopecia, familial focal	MONDO:0007084
OMIM:104130	%104130 alopecia, psychomotor epilepsy, pyorrhea, and mental subnormality;;shokeir syndrome	MONDO:0007085
OMIM:104200	#104200 alport syndrome, autosomal dominant	MONDO:0007086|MONDO:0007086
OMIM:104290	#104290 alternating hemiplegia of childhood 1; ahc1	MONDO:0016241|MONDO:0007087
OMIM:104300	alzheimer disease	MONDO:0004975
OMIM:104310	alzheimer disease 2	MONDO:0007089
OMIM:104350	amastia, bilateral, with ureteral triplication and dysmorphism	MONDO:0007090
OMIM:104400	amelia and terminal transverse hemimelia	MONDO:0007091
OMIM:104500	amelogenesis imperfecta, type ib	MONDO:0007092|MONDO:0007092
OMIM:104510	amelogenesis imperfecta, type iv	MONDO:0007093|MONDO:0007093
OMIM:104530	#104530 amelogenesis imperfecta, type ia; ai1aamelogenesis imperfecta, hypoplastic type ia	MONDO:0007094|MONDO:0007094
OMIM:104570	ameloonychohypohidrotic syndrome	MONDO:0007095
OMIM:104600	104600 amenorrhea-galactorrhea syndrome	MONDO:0007096
OMIM:105120	amyloidosis, finnish type	MONDO:0007097
OMIM:105150	amyloidosis vi	MONDO:0005620|MONDO:0007098
OMIM:105200	amyloidosis, familial visceral	MONDO:0007099
OMIM:105210	amyloidosis, hereditary, transthyretin-related	MONDO:0007100
OMIM:105250	amyloidosis, primary cutaneous	MONDO:0015301|MONDO:0007101
OMIM:105300	amyotrophic dystonic paraplegia	MONDO:0007102
OMIM:105400	amyotrophic lateral sclerosis 1	MONDO:0007103
OMIM:105500	amyotrophic lateral sclerosis-parkinsonism/dementia complex 1	MONDO:0007104
OMIM:105550	amyotrophic lateral sclerosis and/or frontotemporal dementia 1	MONDO:0000712|MONDO:0007105
OMIM:105563	105563 anal sphincter dysplasia; asdp	MONDO:0007106
OMIM:105565	anal sphincter myopathy, internal	MONDO:0007107
OMIM:105580	anal canal carcinomacloacogenic carcinoma, included	MONDO:0007108|MONDO:0007108
OMIM:105600	anemia, dyserythropoietic congenital, type iii	MONDO:0019403|MONDO:0007109
OMIM:105650	diamond-blackfan anemia	MONDO:0015253
OMIM:105800	aneurysm, intracranial berry, 1	MONDO:0016483|MONDO:0007111
OMIM:105805	aneurysm of interventricular septum	MONDO:0007112
OMIM:105830	angelman syndrome	MONDO:0007113
OMIM:105835	angel-shaped phalangoepiphyseal dysplasia	MONDO:0007114
OMIM:106050	angioma serpiginosum, autosomal dominant	MONDO:0007115
OMIM:106070	angioma, hereditary neurocutaneousspinal arterial venous malformations with cutaneous hemangiomas, included	MONDO:0007116
OMIM:106100	angioedema, hereditary	MONDO:0019623|MONDO:0007117
OMIM:106190	anhidrosis, isolated, with normal sweat glands; anhd	MONDO:0007118
OMIM:106210	aniridia 1	MONDO:0019172|MONDO:0007119
OMIM:106220	aniridia and absent patella	MONDO:0007120
OMIM:106230	aniridia, microcornea, and spontaneously reabsorbed cataract	MONDO:0007121
OMIM:106240	anisocoria	MONDO:0007122
OMIM:106250	ankyloblepharon filiforme adnatum and cleft palate	MONDO:0007123
OMIM:106260	ankyloblepharon-ectodermal defects-cleft lip/palate	MONDO:0007124
OMIM:106280	ankyloglossia	MONDO:0007125
OMIM:106300	spondyloarthropathy, susceptibility to, 1	MONDO:0007126
OMIM:106400	ankylosing vertebral hyperostosis with tylosisdiffuse idiopathic skeletal hyperostosis, included	MONDO:0007127|MONDO:0007127
OMIM:106500	annular erythema	MONDO:0007128
OMIM:106600	tooth agenesis, selective, 1	MONDO:0007129
OMIM:106700	total anomalous pulmonary venous return 1	MONDO:0007130|MONDO:0007130
OMIM:106750	anonychia with flexural pigmentation	MONDO:0007131
OMIM:106900	anonychia-ectrodactyly	MONDO:0007132
OMIM:106990	106990 anonychia-onychodystrophy with brachydactyly type b and ectrodactyly	MONDO:0007133
OMIM:106995	%106995 anonychia-onychodystrophy with hypoplasia or absence of distal phalanges;;cooks syndrome	MONDO:0007134
OMIM:107000	%107000 nail disorder, nonsyndromic congenital, 6; ndnc6;;anonychia/hyponychia and onychodystrophy;;anonychia, partial	MONDO:0007135
OMIM:107100	anorectal anomalies	MONDO:0007136
OMIM:107200	anosmia, congenital	MONDO:0007137
OMIM:107250	anterior segment dysgenesis 1	MONDO:0007138|MONDO:0007138
OMIM:107320	antiphospholipid syndrome, familial	MONDO:0007140
OMIM:107480	#107480 townes-brocks syndrome; tbs;;renal-ear-anal-radial syndrome;;rear syndrome;;anus, imperforate, with hand, foot, and ear anomalies;;deafness, sensorineural, with imperforate anus and thumb anomaliestownes-brocks-branchiootorenal-like syndrome, included	MONDO:0007142|MONDO:0007142
OMIM:107500	aortic arch anomaly with peculiar facies and mental retardation	MONDO:0007143
OMIM:107550	107550 aortic arch interruption, facial palsy, and retinal coloboma	MONDO:0007144
OMIM:107600	aplasia cutis congenita, nonsyndromic	MONDO:0007145
OMIM:107640	apnea, central sleep	MONDO:0008807
OMIM:107650	apnea, obstructive sleep	MONDO:0007147
OMIM:107700	appendicitis, proneness to	MONDO:0007148
OMIM:107900	arms, malformation of	MONDO:0007151
OMIM:107970	#107970 arrhythmogenic right ventricular dysplasia, familial, 1; arvd1;;arrhythmogenic right ventricular cardiomyopathy 1; arvc1uhl anomaly, included;;cardiomyopathy, right ventricular dilated, included	MONDO:0007152|MONDO:0007152
OMIM:108000	arteries, anomalies of	MONDO:0007153
OMIM:108010	arteriovenous malformations of the brain	MONDO:0007154
OMIM:108050	arteritis, familial granulomatous, with juvenile polyarthritis	MONDO:0007155
OMIM:108100	arthritis, sacroiliac	MONDO:0007156
OMIM:108120	arthrogryposis, distal, type 1a; da1a	MONDO:0007157
OMIM:108145	#108145 arthrogryposis, distal, type 5; da5;;arthrogryposis with oculomotor limitation and electroretinal abnormalities;;oculomelic amyoplasia;;arthrogryposis, distal, type iib; daiib	MONDO:0019942|MONDO:0007158
OMIM:108200	arthrogryposis-like hand anomaly and sensorineural deafness	MONDO:0019942|MONDO:0007159
OMIM:108300	#108300 stickler syndrome, type i; stl1;;stickler syndrome, vitreous type 1;;stickler syndrome, membranous vitreous type;;arthroophthalmopathy, hereditary progressive; aom	MONDO:0007160
OMIM:108420	spermatogenic failure 2	MONDO:0004983|MONDO:0007161
OMIM:108450	108450 asymmetric short stature syndrome	MONDO:0007162
OMIM:108500	episodic ataxia, type 2	MONDO:0007163|MONDO:0007163
OMIM:108600	spastic ataxia 1, autosomal dominant; spax1	MONDO:0007164
OMIM:108650	%108650 spastic ataxia 7, autosomal dominant; spax7;;spastic ataxia with congenital miosis;;miosis, congenital, with spastic ataxia	MONDO:0007165
OMIM:108700	ataxia with fasciculations	MONDO:0007166
OMIM:108720	atelosteogenesis, type i; ao1	MONDO:0007167
OMIM:108721	#108721 atelosteogenesis, type iii; aoiii;;ao3	MONDO:0007168
OMIM:108725	atherosclerosis susceptibility	MONDO:0007169
OMIM:108760	atresia of external auditory canal and conduction deafness	MONDO:0007170
OMIM:108770	atrial standstill 1	MONDO:0007171
OMIM:108800	atrial septal defect 1	MONDO:0007172
OMIM:108900	atrial septal defect with atrioventricular conduction defects	MONDO:0007173|MONDO:0007173
OMIM:108950	atrial tachyarrhythmia with short pr interval	MONDO:0007174
OMIM:108985	sveinsson chorioretinal atrophy	MONDO:0007176
OMIM:109000	auriculoosteodysplasia	MONDO:0007177
OMIM:109050	aurocephalosyndactyly	MONDO:0007178
OMIM:109100	autoimmune disease	MONDO:0007179
OMIM:109120	axenfeld-rieger anomaly with partially absent eye muscles, distinctive face, hydrocephaly, and skeletal abnormalities	MONDO:0007180
OMIM:109130	axial osteomalacia	MONDO:0007181
OMIM:109150	machado-joseph disease; mjd	MONDO:0007182
OMIM:109160	%109160 azotemia, familial	MONDO:0007183
OMIM:109200	alopecia, androgenetic, 1	MONDO:0005339|MONDO:0007184
OMIM:109300	109300 banki syndrome	MONDO:0007185
OMIM:109350	gastroesophageal reflux	MONDO:0007186
OMIM:109400	basal cell nevus syndrome	MONDO:0007187
OMIM:109500	%109500 basilar impression, primary	MONDO:0007188
OMIM:109543	b-cell malignancy, low-grade	MONDO:0007190
OMIM:109650	behcet syndrome	MONDO:0007191
OMIM:109720	biliary cirrhosis, primary	MONDO:0005388|MONDO:0007193
OMIM:109730	#109730 aortic valve disease 1; aovd1;;aortic valve disease;;bicuspid aortic valve; bav;;aortic valve, bicuspid;;aortic valve, calcification of;;aortic stenosis, calcific	MONDO:0007194
OMIM:109740	109740 bifid nose, autosomal dominant	MONDO:0007195
OMIM:109800	bladder cancer	MONDO:0001187|MONDO:0001187
OMIM:109820	109820 bladder diverticulum	MONDO:0007197|MONDO:0007197
OMIM:109900	blepharochalasis and double lip	MONDO:0007198
OMIM:110000	blepharochalasis, superior	MONDO:0007199
OMIM:110050	blepharonasofacial malformation syndrome	MONDO:0007200
OMIM:110100	blepharophimosis, ptosis, and epicanthus inversus	MONDO:0007201|MONDO:0007201
OMIM:110150	blepharoptosis, myopia, and ectopia lentis	MONDO:0007202
OMIM:112200	%112200 blue rubber bleb nevus;;bean syndrome	MONDO:0007203
OMIM:112240	#112240 cole-carpenter syndrome 1; clcrp1;;bone fragility with craniosynostosis, ocular proptosis, hydrocephalus,and distinctive facial features	MONDO:0016085|MONDO:0007204
OMIM:112250	diaphyseal medullary stenosis with malignant fibrous histiocytoma; dmsmfh	MONDO:0007205
OMIM:112270	bone pain, periodic	MONDO:0007206
OMIM:112300	book syndrome	MONDO:0007207
OMIM:112310	boomerang dysplasia	MONDO:0007208
OMIM:112350	%112350 weismann-netter syndrome; wns;;bowing of legs, anterior, with dwarfism;;toxopachyosteose diaphysaire tibio-peroniere	MONDO:0007209
OMIM:112370	brachmann-de lange-like facial changes with microcephaly, metatarsusadductus, and developmental delay	MONDO:0007210
OMIM:112410	#112410 hypertension and brachydactyly syndrome; htnb;;brachydactyly with hypertension;;brachydactyly, type e, with short stature and hypertension;;bilginturan syndrome	MONDO:0007211
OMIM:112430	brachydactyly, long-thumb type	MONDO:0007212
OMIM:112440	%112440 brachydactyly, combined b and e types;;pitt-williams brachydactyly;;brachydactyly, ballard type	MONDO:0007213
OMIM:112450	112450 brachydactyly, preaxial, with hallux varus and thumb abduction;;christian brachydactyly	MONDO:0007214
OMIM:112500	#112500 brachydactyly, type a1; bda1;;farabee-type brachydactyly	MONDO:0007215
OMIM:112600	#112600 brachydactyly, type a2; bda2;;brachymesophalangy ii;;mohr-wriedt type brachydactyly	MONDO:0007216
OMIM:112700	brachydactyly, type a3	MONDO:0007217|MONDO:0007217
OMIM:112800	brachydactyly, type a4	MONDO:0007218|MONDO:0007218
OMIM:112910	brachydactyly, type a6	MONDO:0007219
OMIM:113000	#113000 brachydactyly, type b1; bdb1;;brachydactyly, type b; bdb	MONDO:0007220
OMIM:113100	#113100 brachydactyly, type c; bdc;;brachydactyly, haws type	MONDO:0007221
OMIM:113200	brachydactyly, type d	MONDO:0007222|MONDO:0007222
OMIM:113300	brachydactyly, type e	MONDO:0007223
OMIM:113301	brachydactyly, type e, with atrial septal defect, type ii	MONDO:0007224
OMIM:113310	brachydactyly-ectrodactyly with fibular aplasia or hypoplasia	MONDO:0007225
OMIM:113400	brachydactyly-nystagmus-cerebellar ataxia	MONDO:0007226
OMIM:113450	113450 brachydactyly-distal symphalangism syndrome	MONDO:0007227
OMIM:113470	113470 brachymesomelia-renal syndrome	MONDO:0007228
OMIM:113475	113475 brachymetatarsus iv;;metatarsus iv, short;;toe, fourth, short	MONDO:0007229
OMIM:113477	brachymorphism-onychodysplasia-dysphalangism syndrome	MONDO:0007230
OMIM:113480	113480 brachytelephalangy with characteristic facies and kallmann syndrome	MONDO:0007231
OMIM:113500	#113500 brachyolmia type 3;;brachyolmia, autosomal dominant;;brachyrachia	MONDO:0007232
OMIM:113600	branchial cleft anomaliesbranchial cysts, included	MONDO:0007233
OMIM:113610	branchial myoclonus with spastic paraparesis and cerebellar ataxia	MONDO:0007234
OMIM:113620	#113620 branchiooculofacial syndrome; bofs;;bof syndrome;;branchial clefts with characteristic facies, growth retardation, imperforatenasolacrimal duct, and premature aging;;hemangiomatous branchial clefts-lip pseudocleft syndrome;;lip pseudocleft-hemangiomatous branchial cyst syndrome	MONDO:0007235
OMIM:113650	branchiootorenal syndrome 1	MONDO:0007236
OMIM:113670	breast, unilateral giant	MONDO:0007237
OMIM:113700	%113700 breasts and/or nipples, aplasia or hypoplasia of, 1; bnah1;;amastia;;athelia;;amazia	MONDO:0007238
OMIM:113800	epidermolytic hyperkeratosis	MONDO:0007239
OMIM:113900	#113900 progressive familial heart block, type ia; pfhb1a;;pfhbia;;heart block, progressive familial, type i; pfhbi;;lenegre-lev disease;;cardiac conduction defect, progressive; pccd;;bundle branch block;;hereditary bundle branch system defect; hbbdheart block, nonprogressive, included;;cardiac conduction defect, nonprogressive, included	MONDO:0007240|MONDO:0007240
OMIM:113950	%113950 bundle branch block, familial isolated complete right	MONDO:0007241
OMIM:113970	burkitt lymphoma; bl	MONDO:0007243
OMIM:114000	caffey disease	MONDO:0007244
OMIM:114030	114030 cafe-au-lait spots, multiple	MONDO:0007245
OMIM:114065	calcific aortic disease with immunologic abnormalities, familial	MONDO:0007246
OMIM:114100	%114100 basal ganglia calcification, idiopathic, childhood-onset;;ibgc, childhood-onset;;striopallidodentate calcinosis, bilateral, childhood-onset;;cerebral calcification, nonarteriosclerotic, idiopathic, childhood-onset	MONDO:0007247
OMIM:114140	callosities, hereditary painful	MONDO:0007248
OMIM:114150	camptobrachydactyly	MONDO:0007249
OMIM:114200	camptodactylystreblodactyly, included	MONDO:0007250
OMIM:114290	campomelic dysplasia	MONDO:0007251
OMIM:114300	arthrogryposis, distal, type 3; da3	MONDO:0007252
OMIM:114450	cancer, familial, with in vitro radioresistance	MONDO:0007253
OMIM:114480	#114480 breast cancer;;breast cancer, familialbreast cancer, familial male, included	MONDO:0007254|MONDO:0016419
OMIM:114500	colorectal cancer	MONDO:0005575
OMIM:114550	hepatocellular carcinoma	MONDO:0007256
OMIM:114580	candidiasis, familial chronic mucocutaneous, autosomal dominant	MONDO:0015279|MONDO:0007257
OMIM:114600	canine teeth, absence of upper permanent	MONDO:0007258
OMIM:114620	114620 craniofaciofrontodigital syndrome;;cantu craniofaciofrontodigital syndrome	MONDO:0007259
OMIM:114650	car factor deficiency	MONDO:0007260
OMIM:114700	carabelli anomaly of maxillary molar teeth	MONDO:0007261
OMIM:114900	carcinoid tumors, intestinal	MONDO:0006689
OMIM:115000	cardiac arrhythmia	MONDO:0007263
OMIM:115080	cardiac conduction defectsudden cardiac death, included	MONDO:0007264
OMIM:115150	cardiofaciocutaneous syndrome 1	MONDO:0007265
OMIM:115196	cardiomyopathy, familial hypertrophic, 3	MONDO:0007267|MONDO:0007267
OMIM:115195	cardiomyopathy, familial hypertrophic, 2	MONDO:0007266|MONDO:0007266
OMIM:115197	cardiomyopathy, familial hypertrophic, 4	MONDO:0007268
OMIM:115200	#115200 cardiomyopathy, dilated, 1a; cmd1a;;cardiomyopathy, dilated, with conduction defect 1; cdcd1;;cardiomyopathy, idiopathic dilated;;cardiomyopathy, familial idiopathic;;cardiomyopathy, congestive	MONDO:0007269
OMIM:115210	cardiomyopathy, familial restrictive, 1	MONDO:0007270
OMIM:115250	115250 collagenoma, familial cutaneous	MONDO:0007271
OMIM:115300	carotenemia, familial	MONDO:0007272
OMIM:115310	paragangliomas 4	MONDO:0007273
OMIM:115400	carpal displacement	MONDO:0007274
OMIM:115430	carpal tunnel syndrome	MONDO:0007275
OMIM:115470	#115470 cat eye syndrome; ces;;schmid-fraccaro syndrome;;chromosome 22 partial tetrasomy;;inv dup(22)(q11)	MONDO:0007276
OMIM:115645	115645 cataract, aberrant oral frenula, and growth retardation	MONDO:0007277
OMIM:115650	cataract, anterior polar, 1	MONDO:0007278
OMIM:115660	cataract, congenital, cerulean type, 1	MONDO:0007279
OMIM:115665	%115665 cataract, congenital, volkmann type; ccv	MONDO:0007280|MONDO:0007280
OMIM:115700	cataract, crystalline aculeiform	MONDO:0007281
OMIM:115800	cataract, crystalline coralliform	MONDO:0007282|MONDO:0007282
OMIM:115900	#115900 cataract 42; ctrct42	MONDO:0007283|MONDO:0007283
OMIM:116100	116100 cataract, membranous	MONDO:0007284|MONDO:0007284
OMIM:116200	cataract 1, multiple types	MONDO:0007285|MONDO:0007285
OMIM:116300	cataract 30, multiple types	MONDO:0007286|MONDO:0007286
OMIM:116400	cataract, nuclear total	MONDO:0007287|MONDO:0007287
OMIM:116600	#116600 cataract, posterior polar, 1; ctpp1;;ctpp;;ctpacataract, congenital total, included	MONDO:0007288|MONDO:0007288
OMIM:116700	cataract 13 with adult i phenotype	MONDO:0007289
OMIM:116800	#116800 cataract, lamellar;;cataract, zonular;;perinuclear cataractcataract, marner type, included; cam, included;;ctm, included	MONDO:0007290|MONDO:0007290
OMIM:116860	#116860 cerebral cavernous malformations; ccm;;cavernous angioma, familial;;cavernous angiomatous malformations; cam;;cerebral capillary malformationscerebral cavernous malformations 1, included; ccm1, included;;cavernous malformations of cns and retina, included;;hyperkeratotic cutaneous capillary-venous malformations associatedwith cerebral capillary malformations, included	MONDO:0007291
OMIM:116870	celiac artery stenosis from compression by median arcuate ligamentof diaphragm	MONDO:0007292
OMIM:116920	leukocyte adhesion deficiency, type i	MONDO:0007293|MONDO:0007293
OMIM:117000	#117000 central core disease of muscle;;ccd;;ccominicore myopathy, moderate, with hand involvement, included;;multicore myopathy, moderate, with hand involvement, included;;multiminicore disease, moderate, with hand involvement, included;;neuromuscular disease, congenital, with uniform type 1 fiber, included;cnmdu1, included	MONDO:0007294|MONDO:0007294
OMIM:117100	centralopathic epilepsy	MONDO:0007295
OMIM:117210	spinocerebellar ataxia 31	MONDO:0007296|MONDO:0007296
OMIM:117300	dementia, familial danish	MONDO:0007297
OMIM:117360	#117360 spinocerebellar ataxia 29; sca29;;cerebellar ataxia, congenital nonprogressive, autosomal dominant;cnpca;;cerebellar vermis aplasia;;aplasia of cerebellar vermis; acv	MONDO:0007298
OMIM:117550	#117550 sotos syndrome 1; sotos1;;sotos syndrome;;cerebral gigantism;;chromosome 5q35 deletion syndrome	MONDO:0007299
OMIM:117600	117600 cerebral sarcoma	MONDO:0007300
OMIM:117650	cerebrocostomandibular syndrome	MONDO:0007301
OMIM:117850	cervical hypertrichosis with underlying kyphoscoliosis	MONDO:0007302
OMIM:117900	cervical rib	MONDO:0007303
OMIM:118000	cervical vertebral bridge	MONDO:0007304
OMIM:118005	cervical vertebral dysplasia	MONDO:0007305
OMIM:118100	klippel-feil syndrome 1, autosomal dominant; kfs1	MONDO:0007306
OMIM:118200	charcot-marie-tooth disease, demyelinating, type 1b; cmt1b	MONDO:0007307
OMIM:118210	#118210 charcot-marie-tooth disease, axonal, type 2a1; cmt2a1;;charcot-marie-tooth disease, axonal, autosomal dominant, type 2a1;;charcot-marie-tooth disease, neuronal, type 2a1;;charcot-marie-tooth neuropathy, type 2a1;;hereditary motor and sensory neuropathy iia1;;hmsn iia1;;hmsn2a1	MONDO:0007308
OMIM:118220	charcot-marie-tooth disease, demyelinating, type 1a; cmt1a	MONDO:0007309
OMIM:118230	118230 charcot-marie-tooth disease, guadalajara neuronal type	MONDO:0018993|MONDO:0007310
OMIM:118300	#118300 charcot-marie-tooth disease and deafness;;charcot-marie-tooth neuropathy and deafness, autosomal dominant;;charcot-marie-tooth disease, demyelinating, type 1e; cmt1e	MONDO:0007311
OMIM:118301	118301 charcot-marie-tooth disease with ptosis and parkinsonism	MONDO:0007312
OMIM:118330	cheilitis glandularis	MONDO:0007313
OMIM:118350	chemodectoma, intraabdominal, with cutaneous angiolipomas	MONDO:0007314
OMIM:118400	cherubism	MONDO:0007315
OMIM:118420	chiari malformation type i	MONDO:0007316
OMIM:118430	chlorpropamide-alcohol flushing	MONDO:0007317
OMIM:118450	#118450 alagille syndrome 1; algs1;;alagille syndrome; algs;;alagille-watson syndrome; aws;;cholestasis with peripheral pulmonary stenosis;;arteriohepatic dysplasia; ahd;;hepatic ductular hypoplasia, syndromatic	MONDO:0016862
OMIM:118600	#118600 chondrocalcinosis 2; ccal2;;chondrocalcinosis, familial articular;;calcium gout;;calcium pyrophosphate arthropathy;;calcium pyrophosphate dihydrate deposition disease; cppdd	MONDO:0007319
OMIM:118610	118610 chondrocalcinosis due to apatite crystal deposition;;familial apatite disease	MONDO:0007320
OMIM:118650	chondrodysplasia punctata, autosomal dominantchondrodysplasia punctata due to vitamin k deficiency, included	MONDO:0007321|MONDO:0007321
OMIM:118651	%118651 chondrodysplasia punctata, tibia-metacarpal type;;chondrodysplasia punctata, mt type	MONDO:0007322
OMIM:118700	#118700 chorea, benign hereditary; bhc;;bch;;hereditary progressive chorea without dementia	MONDO:0021011
OMIM:118750	choreoathetosis, familial inverted	MONDO:0007325
OMIM:118800	#118800 paroxysmal nonkinesigenic dyskinesia 1; pnkd1;;paroxysmal dystonic choreoathetosis; pdc;;choreoathetosis, familial paroxysmal; fpd1;;mount-reback syndrome;;choreoathetosis, nonkinesigenic;;dystonia 8; dyt8	MONDO:0007326
OMIM:118830	chylomicronemia, familial, due to circulating inhibitor of lipoproteinlipase	MONDO:0007327
OMIM:118865	choroidal osteoma, bilateral	MONDO:0007328
OMIM:118900	118900 cirrhosis, familial	MONDO:0021025
OMIM:118980	118980 clavicle, pseudarthrosis of, congenital	MONDO:0007330
OMIM:119000	cleft chin	MONDO:0007331
OMIM:119100	split-hand/foot malformation with long bone deficiency 1	MONDO:0007332
OMIM:119300	van der woude syndrome	MONDO:0019508
OMIM:119500	popliteal pterygium syndrome	MONDO:0017435
OMIM:119530	%119530 orofacial cleft 1; ofc1;;cleft lip with or without cleft palate, nonsyndromic, 1;;orofacial cleft, nonsyndromic; ofc;;cleft lip/palate, nonsyndromic	MONDO:0007335
OMIM:119540	#119540 cleft palate, isolated; cpi;;cleft palate; cpcleft palate, isolated, and mental retardation, included	MONDO:0007336|MONDO:0007336
OMIM:119550	cleft palate-lateral synechia syndrome	MONDO:0007337
OMIM:119570	cleft soft palate	MONDO:0007338
OMIM:119580	%119580 blepharocheilodontic syndrome; bcds;;bcd syndrome;;clefting, ectropion, and conical teeth;;ectropion, inferior, with cleft lip and/or palate;;elschnig syndrome;;lagophthalmia with bilateral cleft lip and palate	MONDO:0007339
OMIM:119600	#119600 cleidocranial dysplasia; ccd;;cleidocranial dysostosis; clcdcleidocranial dysplasia, forme fruste, with brachydactyly, included;;cleidocranial dysplasia, forme fruste, dental anomalies only, included	MONDO:0007340|MONDO:0007340
OMIM:119650	cleidorhizomelic syndrome	MONDO:0007341
OMIM:119800	#119800 clubfoot, congenital, with or without deficiency of long bones and/ormirror-image polydactyly; ccf	MONDO:0007342|MONDO:0007342
OMIM:119900	digital clubbing, isolated congenital	MONDO:0007343
OMIM:119915	cluster headache, familial	MONDO:0007344
OMIM:120000	coarctation of aorta	MONDO:0007345
