decipher id 	 decipher name 	 db_type 
1069	aniridia-absent patella syndrome	ORPHA
107	bor syndrome	ORPHA
1072	ankyloblepharon filiforme adnatum-cleft palate syndrome	ORPHA
1074	ankyloblepharon filiforme-imperforate anus syndrome	ORPHA
1077	dental ankylosis	ORPHA
1078	thumb stiffness-brachydactyly-intellectual disability syndrome	ORPHA
1092	renal-genital-middle ear anomalies	ORPHA
1094	anonychia-microcephaly syndrome	ORPHA
11	pentasomy x	ORPHA
1101	anophthalmia-megalocornea-cardiopathy-skeletal anomalies syndrome	ORPHA
1104	anophthalmia plus syndrome	ORPHA
1110	aortic arch anomaly-facial dysmorphism-intellectual disability syndrome	ORPHA
1112	aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome	ORPHA
1113	aphalangy-syndactyly-microcephaly syndrome	ORPHA
1114	aplasia cutis congenita	ORPHA
1115	recessive aplasia cutis congenita of limbs	ORPHA
1116	aplasia cutis congenita-intestinal lymphangiectasia syndrome	ORPHA
1117	aplasia cutis-myopia syndrome	ORPHA
1118	fibular aplasia-ectrodactyly syndrome	ORPHA
112	bartter syndrome	ORPHA
1120	lung agenesis-heart defect-thumb anomalies syndrome	ORPHA
1122	ulnar hypoplasia-split foot syndrome	ORPHA
113	bazex-dupré-christol syndrome	ORPHA
1131	x-linked mandibulofacial dysostosis	ORPHA
1132	aortic arch defects	ORPHA
1133	aredyld syndrome	ORPHA
1135	arrhinia-choanal atresia-microphthalmia syndrome	ORPHA
114	auriculoosteodysplasia	ORPHA
1144	arthrogryposis-like hand anomaly-sensorineural deafness syndrome	ORPHA
1145	infantile-onset x-linked spinal muscular atrophy	ORPHA
1146	digitotalar dysmorphism	ORPHA
1149	arthrogryposis-like syndrome	ORPHA
115	congenital contractural arachnodactyly	ORPHA
1150	arthrogryposis multiplex congenita-whistling face syndrome	ORPHA
1154	arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome	ORPHA
1160	chylous ascites	ORPHA
1166	congenital unilateral hypoplasia of depressor anguli oris	ORPHA
1167	facial asymmetry-temporal seizures syndrome	ORPHA
1168	ataxia-oculomotor apraxia type 1	ORPHA
117	behçet disease	ORPHA
1170	autosomal recessive cerebelloparenchymal disorder type 3	ORPHA
1173	cerebellar ataxia-hypogonadism syndrome	ORPHA
1174	cerebellar ataxia-ectodermal dysplasia syndrome	ORPHA
1178	ataxia-tapetoretinal degeneration syndrome	ORPHA
1179	benign paroxysmal tonic upgaze of childhood with ataxia	ORPHA
1180	ataxia-hypogonadism-choroidal dystrophy syndrome	ORPHA
1182	spastic ataxia with congenital miosis	ORPHA
1184	ataxia-photosensitivity-short stature syndrome	ORPHA
1185	spinocerebellar ataxia-dysmorphism syndrome	ORPHA
1188	ataxia-deafness-intellectual disability syndrome	ORPHA
1192	atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome	ORPHA
1193	atkin-flaitz syndrome	ORPHA
1194	tmem70-related mitochondrial encephalo-cardio-myopathy	ORPHA
1195	congenital atransferrinemia	ORPHA
1198	colonic atresia	ORPHA
1200	choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome	ORPHA
1202	larynx atresia	ORPHA
1203	duodenal atresia	ORPHA
1208	pulmonary atresia-intact ventricular septum syndrome	ORPHA
1214	progressive hemifacial atrophy	ORPHA
1215	autosomal dominant optic atrophy plus syndrome	ORPHA
1216	autosomal dominant congenital benign spinal muscular atrophy	ORPHA
122	birt-hogg-dubé syndrome	ORPHA
1221	cheilitis glandularis	ORPHA
1227	bangstad syndrome	ORPHA
1228	banki syndrome	ORPHA
1229	congenital intrauterine infection-like syndrome	ORPHA
123	björnstad syndrome	ORPHA
1234	bartsocas-papas syndrome	ORPHA
1236	severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome	ORPHA
1237	beemer-ertbruggen syndrome	ORPHA
1239	behr syndrome	ORPHA
124	blackfan-diamond anemia	ORPHA
1240	metaphyseal acroscyphodysplasia	ORPHA
1241	bencze syndrome	ORPHA
1243	best vitelliform macular dystrophy	ORPHA
1248	maxillonasal dysplasia	ORPHA
1252	blepharonasofacial malformation syndrome	ORPHA
1253	ascher syndrome	ORPHA
1256	blepharophimosis-radioulnar synostosis syndrome	ORPHA
1258	blepharoptosis-cleft palate-ectrodactyly-dental anomalies syndrome	ORPHA
1259	blepharoptosis-myopia-ectopia lentis syndrome	ORPHA
126	blepharophimosis-epicanthus inversus-ptosis syndrome	ORPHA
1261	bonnemann-meinecke-reich syndrome	ORPHA
1262	böök syndrome	ORPHA
1264	tricho-retino-dento-digital syndrome	ORPHA
1275	brachydactyly-elbow wrist dysplasia syndrome	ORPHA
1276	brachydactyly-arterial hypertension syndrome	ORPHA
1277	brachydactyly-mesomelia-intellectual disability-heart defects syndrome	ORPHA
129	pseudopelade of brocq	ORPHA
1292	brachymorphism-onychodysplasia-dysphalangism syndrome	ORPHA
1295	brachytelephalangy-dysmorphism-kallmann syndrome	ORPHA
1296	lambert syndrome	ORPHA
1297	branchio-oculo-facial syndrome	ORPHA
1299	branchioskeletogenital syndrome	ORPHA
1300	autosomal dominant popliteal pterygium syndrome	ORPHA
1306	buschke-ollendorff syndrome	ORPHA
1307	distal limb deficiencies-micrognathia syndrome	ORPHA
1308	c syndrome	ORPHA
1309	medullary sponge kidney	ORPHA
1313	infantile choroidocerebral calcification syndrome	ORPHA
1314	symmetrical thalamic calcifications	ORPHA
1318	campomelia, cumming type	ORPHA
1319	camptobrachydactyly	ORPHA
1321	camptodactyly-fibrous tissue hyperplasia-skeletal dysplasia syndrome	ORPHA
1323	camptodactyly-joint contractures-facial skeletal defects syndrome	ORPHA
1325	camptodactyly-taurinuria syndrome	ORPHA
1326	camptodactyly syndrome, guadalajara type 2	ORPHA
1327	camptodactyly syndrome, guadalajara type 1	ORPHA
1329	complete atrioventricular canal	ORPHA
1335	pentalogy of cantrell	ORPHA
1336	hyperkeratosis-hyperpigmentation syndrome	ORPHA
1338	heart defect-tongue hamartoma-polysyndactyly syndrome	ORPHA
1342	heart-hand syndrome type 3	ORPHA
1345	cardiomyopathy-cataract-hip spine disease syndrome	ORPHA
1349	maternally-inherited cardiomyopathy and hearing loss	ORPHA
1350	heart-hand syndrome type 2	ORPHA
1352	atrioventricular defect-blepharophimosis-radial and anal defect syndrome	ORPHA
1354	heart defects-limb shortening syndrome	ORPHA
1355	congenital heart defect-round face-developmental delay syndrome	ORPHA
1358	carey-fineman-ziter  syndrome	ORPHA
1361	carnosinemia	ORPHA
1366	autosomal recessive palmoplantar keratoderma and congenital alopecia	ORPHA
1368	cataract-ataxia-deafness syndrome	ORPHA
1369	congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	ORPHA
1373	cataract-aberrant oral frenula-growth delay syndrome	ORPHA
1375	cataract-hypertrichosis-intellectual disability syndrome	ORPHA
137599	stromal keratitis	ORPHA
1376	congenital cataract-ichthyosis syndrome	ORPHA
137608	segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome	ORPHA
137634	overgrowth-macrocephaly-facial dysmorphism syndrome	ORPHA
137658	microcephaly-intellectual disability-phalangeal and neurological anomalies syndrome	ORPHA
1377	cataract-microcornea syndrome	ORPHA
137831	x-linked intellectual disability-cerebellar hypoplasia syndrome	ORPHA
137834	frank-ter haar syndrome	ORPHA
137867	madras motor neuron disease	ORPHA
137902	isolated optic nerve hypoplasia	ORPHA
1380	cataract-nephropathy-encephalopathy syndrome	ORPHA
1381	cataract-intellectual disability-anal atresia-urinary defects syndrome	ORPHA
1387	cataract-intellectual disability-hypogonadism syndrome	ORPHA
1388	catel-manzke syndrome	ORPHA
1389	cortical blindness-intellectual disability-polydactyly syndrome	ORPHA
1390	night blindness-skeletal anomalies-dysmorphism syndrome	ORPHA
1393	cerebrocostomandibular syndrome	ORPHA
1394	cerebrofaciothoracic dysplasia	ORPHA
139402	drug rash with eosinophilia and systemic symptoms	ORPHA
139406	encephalopathy due to prosaposin deficiency	ORPHA
139411	carney triad	ORPHA
139414	congenital panfollicular nevus	ORPHA
139426	perioral myoclonia with absences	ORPHA
139444	leukoencephalopathy with bilateral anterior temporal lobe cysts	ORPHA
139466	serkal syndrome	ORPHA
139471	microphthalmia with brain and digit anomalies	ORPHA
139474	17q11.2 microduplication syndrome	ORPHA
1396	cerebrorenodigital syndrome	ORPHA
1397	hydrocephaly-cerebellar agenesis syndrome	ORPHA
1398	isolated cerebellar hypoplasia/agenesis	ORPHA
1399	richards-rundle syndrome	ORPHA
1406	charlie m syndrome	ORPHA
1408	hair defect-photosensitivity-intellectual disability syndrome	ORPHA
1409	woolly hair-hypotrichosis-everted lower lip-outstanding ears syndrome	ORPHA
140905	hyperlipidemia due to hepatic triglyceride lipase deficiency	ORPHA
140933	linear atrophoderma of moulin	ORPHA
140936	lelis syndrome	ORPHA
140941	short stature due to primary acid-labile subunit deficiency	ORPHA
140952	syndactyly-telecanthus-anogenital and renal malformations syndrome	ORPHA
140966	palmoplantar keratoderma, nagashima type	ORPHA
140976	rhyns syndrome	ORPHA
1410	uncombable hair syndrome	ORPHA
141096	supernumerary nostril	ORPHA
1414	cholestasis-lymphedema syndrome	ORPHA
1416	familial calcium pyrophosphate deposition	ORPHA
142	anaplastic thyroid carcinoma	ORPHA
1420	lethal chondrodysplasia, moerman type	ORPHA
1423	lethal recessive chondrodysplasia	ORPHA
1426	greenberg dysplasia	ORPHA
1429	benign familial chorea	ORPHA
1433	choroidal atrophy-alopecia syndrome	ORPHA
1434	choroideremia-hypopituitarism syndrome	ORPHA
1435	choroideremia-deafness-obesity syndrome	ORPHA
1436	skeletal dysplasia-intellectual disability syndrome	ORPHA
1437	ring chromosome 1	ORPHA
1438	ring chromosome 10	ORPHA
1439	ring chromosome 12	ORPHA
1447	ring chromosome 4	ORPHA
1448	ring chromosome 6	ORPHA
1449	ring chromosome 7	ORPHA
145	hereditary breast and ovarian cancer syndrome	ORPHA
1450	chromosome 8-derived supernumerary ring/marker	ORPHA
1453	cleidorhizomelic syndrome	ORPHA
1454	joubert syndrome with hepatic defect	ORPHA
1455	autosomal dominant coarctation of aorta	ORPHA
1457	aorta coarctation	ORPHA
1458	codas syndrome	ORPHA
1461	criss-cross heart	ORPHA
1466	cofs syndrome	ORPHA
147	carbamoyl-phosphate synthetase 1 deficiency	ORPHA
1471	coloboma of macula-brachydactyly type b syndrome	ORPHA
1473	uveal coloboma-cleft lip and palate-intellectual disability	ORPHA
1478	interatrial communication	ORPHA
1484	contractures-ectodermal dysplasia-cleft lip/palate syndrome	ORPHA
1486	lethal congenital contracture syndrome type 1	ORPHA
1487	cooks syndrome	ORPHA
1488	cooper-jabs syndrome	ORPHA
1490	corneal dystrophy-perceptive deafness syndrome	ORPHA
1492	corpus callosum agenesis-double urinary collecting system syndrome	ORPHA
1495	intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome	ORPHA
1497	x-linked complicated corpus callosum dysgenesis	ORPHA
1505	short rib-polydactyly syndrome	ORPHA
1506	thin ribs-tubular bones-dysmorphism syndrome	ORPHA
1508	coxoauricular syndrome	ORPHA
1509	coxopodopatellar syndrome	ORPHA
1512	crane-heise syndrome	ORPHA
1514	craniodigital syndrome-intellectual disability syndrome	ORPHA
1516	craniofacial dyssynostosis	ORPHA
1517	hypertrichotic osteochondrodysplasia, cantu type	ORPHA
1519	hypertelorism, teebi type	ORPHA
1525	cranio-osteoarthropathy	ORPHA
1527	craniosynostosis, philadelphia type	ORPHA
1528	craniotelencephalic dysplasia	ORPHA
1529	craniofacial-deafness-hand syndrome	ORPHA
1530	craniosynostosis-cataract syndrome	ORPHA
1532	gómez-lópez-hernández syndrome	ORPHA
1533	craniosynostosis-fibular aplasia syndrome	ORPHA
1538	craniosynostosis-dandy-walker malformation-hydrocephalus syndrome	ORPHA
154	familial isolated dilated cardiomyopathy	ORPHA
1540	jackson-weiss syndrome	ORPHA
1547	cryptomicrotia-brachydactyly-excess fingertip arch syndrome	ORPHA
1548	cryptorchidism-arachnodactyly-intellectual disability syndrome	ORPHA
1551	familial benign copper deficiency	ORPHA
1552	currarino triad	ORPHA
1553	curry-jones syndrome	ORPHA
1555	cutis gyrata-acanthosis nigricans-craniosynostosis syndrome	ORPHA
1556	cutis marmorata telangiectatica congenita	ORPHA
156156	lipoatrophy with diabetes, leukomelanodermic papules, liver steatosis, and hypertrophic cardiomyopathy	ORPHA
156177	retinal ciliopathy due to mutation in usher gene	ORPHA
1562	dacryocystitis-osteopoikilosis syndrome	ORPHA
1563	dahlberg-borer-newcomer syndrome	ORPHA
1566	dandy-walker malformation-postaxial polydactyly syndrome	ORPHA
156728	spondyloepimetaphyseal dysplasia, matrilin-3 type	ORPHA
1570	symbrachydactyly of hands and feet	ORPHA
1571	knobloch syndrome	ORPHA
1573	hypotrichosis with juvenile macular degeneration	ORPHA
1574	retinal degeneration-nanophthalmos-glaucoma syndrome	ORPHA
157801	mesoaxial synostotic syndactyly with phalangeal reduction	ORPHA
157965	ehlers-danlos syndrome, spondylocheirodysplastic type	ORPHA
157991	generalized eruptive histiocytosis	ORPHA
157997	benign cephalic histiocytosis	ORPHA
158	systemic primary carnitine deficiency	ORPHA
1580	distal monosomy 10p	ORPHA
158003	xanthoma disseminatum	ORPHA
158008	papular xanthoma	ORPHA
158014	rosaï-dorfman disease	ORPHA
158022	progressive nodular histiocytosis	ORPHA
158025	hereditary progressive mucinous histiocytosis	ORPHA
158029	sea-blue histiocytosis	ORPHA
1581	non-distal monosomy 10q	ORPHA
158668	epidermolysis bullosa simplex due to plakophilin deficiency	ORPHA
158673	acral dystrophic epidermolysis bullosa	ORPHA
158676	dystrophic epidermolysis bullosa, nails only	ORPHA
158681	epidermolysis bullosa simplex with circinate migratory erythema	ORPHA
158684	epidermolysis bullosa simplex with pyloric atresia	ORPHA
158687	lethal acantholytic epidermolysis bullosa	ORPHA
1587	monosomy 13q14	ORPHA
159	carnitine-acylcarnitine translocase deficiency	ORPHA
1590	distal monosomy 13q	ORPHA
1597	distal monosomy 17q	ORPHA
160148	cap polyposis	ORPHA
1617	2q24 microdeletion syndrome	ORPHA
163	hereditary hyperferritinemia with congenital cataracts	ORPHA
163596	hb bart's hydrops fetalis	ORPHA
1636	distal monosomy 7q36	ORPHA
163649	spondyloepiphyseal dysplasia, nishimura type	ORPHA
163654	spondyloepiphyseal dysplasia, cantu type	ORPHA
163693	2p21 microdeletion syndrome	ORPHA
163703	febrile infection-related epilepsy syndrome	ORPHA
163746	peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-waardenburg syndrome-hirschsprung disease	ORPHA
163934	atopic keratoconjunctivitis	ORPHA
163937	x-linked intellectual disability, najm type	ORPHA
163966	x-linked dominant chondrodysplasia, chassaing-lacombe type	ORPHA
163971	x-linked intellectual disability, cilliers type	ORPHA
163976	x-linked intellectual disability, van esch type	ORPHA
1642	distal monosomy 9p	ORPHA
1643	xp22.3 microdeletion syndrome	ORPHA
1646	partial chromosome y deletion	ORPHA
1647	oculocerebrocutaneous syndrome	ORPHA
1654	natal teeth-intestinal pseudoobstruction-patent ductus syndrome	ORPHA
1655	müllerian derivatives-lymphangiectasia-polydactyly syndrome	ORPHA
1657	dermatoosteolysis, kirghizian type	ORPHA
1658	absence of fingerprints-congenital milia syndrome	ORPHA
1659	dermatoleukodystrophy	ORPHA
1660	dermo-odonto dysplasia	ORPHA
166002	multiple epiphyseal dysplasia due to collagen 9 anomaly	ORPHA
166011	multiple epiphyseal dysplasia, beighton type	ORPHA
166016	multiple epiphyseal dysplasia, lowry type	ORPHA
166024	multiple epiphyseal dysplasia, al-gazali type	ORPHA
1661	x-linked corneal dermoid	ORPHA
166100	stickler syndrome type 3	ORPHA
166113	bazex syndrome	ORPHA
166119	isolated osteopoikilosis	ORPHA
1662	restrictive dermopathy	ORPHA
166272	odontochondrodysplasia	ORPHA
166277	wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	ORPHA
1664	embryonary disorganization syndrome	ORPHA
1665	sporadic fetal brain disruption sequence	ORPHA
167	chédiak-higashi syndrome	ORPHA
1671	diastematomyelia	ORPHA
1672	diencephalic syndrome	ORPHA
168	loose anagen syndrome	ORPHA
1681	diprosopus	ORPHA
1682	arterial dissection-lentiginosis syndrome	ORPHA
168486	congenital neuronal ceroid lipofuscinosis	ORPHA
168491	late infantile neuronal ceroid lipofuscinosis	ORPHA
168549	axial spondylometaphyseal dysplasia	ORPHA
168555	spondylometaphyseal dysplasia, a4 type	ORPHA
168558	46,xy disorder of sex development-adrenal insufficiency due to cyp11a1 deficiency syndrome	ORPHA
168563	46,xy gonadal dysgenesis-motor and sensory neuropathy syndrome	ORPHA
168569	h syndrome	ORPHA
168593	sudden infant death-dysgenesis of the testes syndrome	ORPHA
168624	familial scaphocephaly syndrome, mcgillivray type	ORPHA
168796	heart-hand syndrome, slovenian type	ORPHA
168811	malignant peritoneal mesothelioma	ORPHA
168816	peritoneal cystic mesothelioma	ORPHA
168984	clapo syndrome	ORPHA
169	ringed hair disease	ORPHA
169079	cernunnos-xlf deficiency	ORPHA
169090	combined immunodeficiency due to crac channel dysfunction	ORPHA
1695	non-distal trisomy 10q	ORPHA
1699	trisomy 12p	ORPHA
170	woolly hair	ORPHA
1702	non-distal trisomy 13q	ORPHA
1703	mosaic trisomy 14	ORPHA
1705	distal trisomy 14q	ORPHA
1706	mosaic trisomy 15	ORPHA
1707	distal trisomy 15q	ORPHA
1715	trisomy 18p	ORPHA
1716	distal trisomy 18q	ORPHA
171719	cutis laxa-marfanoid syndrome	ORPHA
171829	6q16 deletion syndrome	ORPHA
171836	amelogenesis imperfecta-gingival hyperplasia syndrome	ORPHA
171839	craniosynostosis-hydrocephalus-arnold-chiari malformation type i-radioulnar synostosis syndrome	ORPHA
171844	blindness-scoliosis-arachnodactyly syndrome	ORPHA
171866	spondyloepimetaphyseal dysplasia, aggrecan type	ORPHA
172	progressive familial intrahepatic cholestasis	ORPHA
1738	trisomy 4p	ORPHA
174	metaphyseal chondrodysplasia, schmid type	ORPHA
1742	trisomy 5p	ORPHA
1745	distal trisomy 6p	ORPHA
1752	trisomy 8q	ORPHA
1756	caudal duplication	ORPHA
1757	fibular dimelia-diplopodia syndrome	ORPHA
1759	thoraco-abdominal enteric duplication	ORPHA
176	non-rhizomelic chondrodysplasia punctata	ORPHA
1762	trisomy xq28	ORPHA
1765	dyschondrosteosis-nephritis syndrome	ORPHA
1766	dysequilibrium syndrome	ORPHA
1767	familial progressive vestibulocochlear dysfunction	ORPHA
1770	xy type gonadal dysgenesis-associated anomalies syndrome	ORPHA
1772	45,x/46,xy mixed gonadal dysgenesis	ORPHA
1773	sacrococcygeal dysgenesis association	ORPHA
1777	temtamy syndrome	ORPHA
1778	facial dysmorphism-shawl scrotum-joint laxity syndrome	ORPHA
1779	dysmorphism-cleft palate-loose skin syndrome	ORPHA
1780	thakker-donnai syndrome	ORPHA
1782	dysosteosclerosis	ORPHA
178303	8q22.1 microdeletion syndrome	ORPHA
178333	Åland islands eye disease	ORPHA
178377	osteosclerosis-developmental delay-craniosynostosis syndrome	ORPHA
178382	congenital vertical talus	ORPHA
178487	adult intestinal botulism	ORPHA
1788	acrofacial dysostosis, rodríguez type	ORPHA
1790	hypomandibular faciocranial dysostosis	ORPHA
1791	frontofacionasal dysplasia	ORPHA
1794	oculomaxillofacial dysostosis	ORPHA
179494	obesity due to leptin receptor gene deficiency	ORPHA
1795	peripheral dysostosis	ORPHA
1797	autosomal dominant spondylocostal dysostosis	ORPHA
1798	dysostosis, stanescu type	ORPHA
1799	familial developmental dysphasia	ORPHA
1801	kyphomelic dysplasia	ORPHA
1802	ghosal hematodiaphyseal dysplasia	ORPHA
1803	thoracomelic dysplasia	ORPHA
1806	ectodermal dysplasia-blindness syndrome	ORPHA
1807	focal facial dermal dysplasia type iii	ORPHA
1808	hidrotic ectodermal dysplasia, christianson-fourie type	ORPHA
1809	hidrotic ectodermal dysplasia, halal type	ORPHA
181	x-linked hypohidrotic ectodermal dysplasia	ORPHA
1811	odontomicronychial dysplasia	ORPHA
1812	ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome	ORPHA
181393	growth hormone insensitivity syndrome	ORPHA
1816	leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome	ORPHA
1818	ectodermal dysplasia, trichoodontoonychial type	ORPHA
1819	epimetaphyseal skeletal dysplasia	ORPHA
182090	pulmonary arterial hypertension	ORPHA
1822	dysplasia epiphysealis hemimelica	ORPHA
1824	lowry-wood syndrome	ORPHA
1825	epiphyseal dysplasia-hearing loss-dysmorphism syndrome	ORPHA
1826	frontometaphyseal dysplasia	ORPHA
1827	acromelic frontonasal dysplasia	ORPHA
183	eosinophilic granulomatosis with polyangiitis	ORPHA
1832	lethal osteosclerotic bone dysplasia	ORPHA
1834	axial mesodermal dysplasia spectrum	ORPHA
1836	mesomelic dysplasia, kantaputra type	ORPHA
1837	ulna metaphyseal dysplasia syndrome	ORPHA
183707	neutrophil immunodeficiency syndrome	ORPHA
183713	pyogenic bacterial infections due to myd88 deficiency	ORPHA
1839	hereditary mucoepithelial dysplasia	ORPHA
1842	bone dysplasia, lethal holmgren type	ORPHA
1848	renal agenesis, bilateral	ORPHA
1849	infundibulopelvic stenosis-multicystic kidney syndrome	ORPHA
1852	x-linked retinal dysplasia	ORPHA
1856	spondyloperipheral dysplasia-short ulna syndrome	ORPHA
1858	skeletal dysplasia-epilepsy-short stature syndrome	ORPHA
186	primary biliary cholangitis	ORPHA
1860	thanatophoric dysplasia type 1	ORPHA
1861	thoracic dysplasia-hydrocephalus syndrome	ORPHA
1865	dyssegmental dysplasia, silverman-handmaker type	ORPHA
1867	bullous dystrophy, macular type	ORPHA
1871	progressive cone dystrophy	ORPHA
1872	cone rod dystrophy	ORPHA
1873	jalili syndrome	ORPHA
1875	congenital muscular dystrophy-infantile cataract-hypogonadism syndrome	ORPHA
1876	oculogastrointestinal muscular dystrophy	ORPHA
1877	muscular dystrophy-white matter spongiosis syndrome	ORPHA
1879	melorheostosis with osteopoikilosis	ORPHA
1880	ebstein malformation	ORPHA
1882	hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome	ORPHA
1883	ectodermal dysplasia-sensorineural deafness syndrome	ORPHA
1885	isolated ectopia lentis	ORPHA
1891	intellectual disability-spasticity-ectrodactyly syndrome	ORPHA
1892	ectrodactyly-polydactyly syndrome	ORPHA
1894	ectrodactyly-spina bifida-cardiopathy syndrome	ORPHA
189427	cushing syndrome due to macronodular adrenal hyperplasia	ORPHA
1895	edinburgh malformation syndrome	ORPHA
1897	eem syndrome	ORPHA
1899	ehlers-danlos syndrome, arthrochalasis type	ORPHA
1900	ehlers-danlos syndrome, kyphoscoliotic type	ORPHA
1901	ehlers-danlos syndrome, dermatosparaxis type	ORPHA
1908	aminopterin/methotrexate embryofetopathy	ORPHA
1909	indomethacin embryofetopathy	ORPHA
1910	fetal iodine syndrome	ORPHA
1911	cocaine embryofetopathy	ORPHA
1912	fetal hydantoin syndrome	ORPHA
1913	fetal trimethadione syndrome	ORPHA
1914	vitamin k-antagonist embryofetopathy	ORPHA
1916	diethylstilbestrol syndrome	ORPHA
1917	fetal methylmercury syndrome	ORPHA
1918	fetal minoxidil syndrome	ORPHA
1919	phenobarbital embryopathy	ORPHA
1920	toluene embryopathy	ORPHA
1923	methimazole embryofetopathy	ORPHA
1926	diabetic embryopathy	ORPHA
1927	emery-nelson syndrome	ORPHA
1928	congenital lobar emphysema	ORPHA
193	cohen syndrome	ORPHA
1931	frontal encephalocele	ORPHA
1933	mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria	ORPHA
1937	eng-strom syndrome	ORPHA
194	ocular coloboma	ORPHA
1942	myoclonic-astastic epilepsy	ORPHA
1946	amelocerebrohypohidrotic syndrome	ORPHA
1948	epilepsy-microcephaly-skeletal dysplasia syndrome	ORPHA
195	cat-eye syndrome	ORPHA
