omim id 	 omim name 	 doids 
615006	epileptic encephalopathy, early infantile, 15	DOID:0050709
615073	dystonia 25	DOID:0090055
615273	congenital disorder of deglycosylation	DOID:0060728
615349	ehlers-danlos syndrome, progeroid type, 2	DOID:0050802
615356	muscular dystrophy, limb-girdle, type 2s	DOID:0110287
615434	retinitis pigmentosa with or without situs inversus	DOID:0110419
615619	cholangiocarcinoma	DOID:4947
615630	short-rib thoracic dysplasia 10 with or without polydactyly	DOID:0110091
615780	retinitis pigmentosa 69	DOID:0110410
616115	familial cold autoinflammatory syndrome 4	DOID:0090065
616300	short-rib thoracic dysplasia 13 with or without polydactyly	DOID:0110093
616546	short-rib thoracic dysplasia 14 with polydactyly	DOID:0110096
616812	muscular dystrophy, limb-girdle, type 2x	DOID:0110290
616827	muscular dystrophy, limb-girdle, type 2w	DOID:0110288
616851	cataract 45	DOID:0110262
616910	immunodeficiency-centromeric instability-facial anomalies syndrome 3	DOID:0090010
616911	immunodeficiency-centromeric instability-facial anomalies syndrome 4	DOID:0090011
617023	retinitis pigmentosa 75	DOID:0110361
617072	muscular dystrophy, limb-girdle, type 2y	DOID:0110289
