decipher id 	 decipher name 	 doid 	 db_type 
250989	1q21.1 microdeletion syndrome	DOID:0060411	ORPHA
250994	1q21.1 microduplication syndrome	DOID:0060435	ORPHA
250999	1q41q42 microdeletion syndrome	DOID:0060412	ORPHA
251	multiple epiphyseal dysplasia	DOID:12721	ORPHA
2510	micro syndrome	DOID:0060237	ORPHA
251019	2q32q33 microdeletion syndrome	DOID:0060428	ORPHA
251038	3q29 microduplication	DOID:0060459	ORPHA
251056	6q25 microdeletion syndrome	DOID:0060424	ORPHA
251909	pineoblastoma	DOID:1664	ORPHA
251937	gangliocytoma	DOID:2426	ORPHA
251992	ganglioneuroma	DOID:4817	ORPHA
252054	hemangioblastoma	DOID:5241	ORPHA
252183	neurofibroma	DOID:962	ORPHA
2554	ear-patella-short stature syndrome	DOID:0060306	ORPHA
257	epidermolysis bullosa simplex with muscular dystrophy	DOID:0090017	ORPHA
2573	moyamoya disease	DOID:13099	ORPHA
2574	moynahan syndrome	DOID:14291	ORPHA
2576	mulibrey nanism	DOID:0050436	ORPHA
2591	infantile myofibromatosis	DOID:0080109	ORPHA
2608	n syndrome	DOID:0050769	ORPHA
261	emery-dreifuss muscular dystrophy	DOID:11726	ORPHA
261120	14q11.2 microdeletion syndrome	DOID:0060392	ORPHA
261211	16p11.2p12.2 microdeletion syndrome	DOID:0060400	ORPHA
261222	distal 16p11.2 microdeletion syndrome	DOID:0060398	ORPHA
261265	17q12 microdeletion syndrome	DOID:0060404	ORPHA
261272	17q12 microduplication syndrome	DOID:0060433	ORPHA
261279	17q23.1q23.2 microdeletion syndrome	DOID:0060405	ORPHA
261330	distal 22q11.2 microdeletion syndrome	DOID:0060413	ORPHA
261349	2p15p16.1 microdeletion syndrome	DOID:0060415	ORPHA
2614	nail-patella syndrome	DOID:9467	ORPHA
261476	monosomy xp21	DOID:0060427	ORPHA
263463	chst3-related skeletal dysplasia	DOID:0050813	ORPHA
2637	microcephalic osteodysplastic primordial dwarfism type ii	DOID:0060609	ORPHA
2655	thanatophoric dysplasia	DOID:13481	ORPHA
26790	pseudomyxoma peritonei	DOID:3559	ORPHA
270	oculopharyngeal muscular dystrophy	DOID:11719	ORPHA
2704	ochoa syndrome	DOID:0050816	ORPHA
2710	oculodentodigital dysplasia	DOID:0060291	ORPHA
2745	opitz g/bbb syndrome	DOID:0050780	ORPHA
275543	l1 syndrome	DOID:0060246	ORPHA
276152	multiple endocrine neoplasia type 4	DOID:0080137	ORPHA
2764	osteochondritis dissecans	DOID:84	ORPHA
2768	blount disease	DOID:14798	ORPHA
2770	nasu-hakola disease	DOID:0090112	ORPHA
2771	bruck syndrome	DOID:0060231	ORPHA
2781	osteopetrosis	DOID:13533	ORPHA
2785	osteopetrosis with renal tubular acidosis	DOID:0110941	ORPHA
280	wolf-hirschhorn syndrome	DOID:0050460	ORPHA
280062	calciphylaxis	DOID:4734	ORPHA
2802	x-linked sideroblastic anemia and ataxia	DOID:0050554	ORPHA
2822	autosomal recessive spastic paraplegia type 11	DOID:0110764	ORPHA
284160	8q21.11 microdeletion syndrome	DOID:0060425	ORPHA
284804	ocular albinism	DOID:0050633	ORPHA
2849	perlman syndrome	DOID:0060476	ORPHA
2869	peutz-jeghers syndrome	DOID:3852	ORPHA
2884	piebaldism	DOID:3263	ORPHA
289176	autosomal recessive hypophosphatemic rickets	DOID:0050949	ORPHA
2896	pitt-hopkins syndrome	DOID:0060488	ORPHA
2897	pityriasis rubra pilaris	DOID:9212	ORPHA
2901	neuralgic amyotrophy	DOID:10383	ORPHA
2905	poems syndrome	DOID:14039	ORPHA
29073	multiple myeloma	DOID:9538	ORPHA
2908	kindler syndrome	DOID:0060472	ORPHA
2909	rothmund-thomson syndrome	DOID:2732	ORPHA
2911	poland syndrome	DOID:12961	ORPHA
29207	reactive arthritis	DOID:6196	ORPHA
2930	cronkhite-canada syndrome	DOID:6225	ORPHA
293621	x-linked endothelial corneal dystrophy	DOID:0060446	ORPHA
293843	3mc syndrome	DOID:0060225	ORPHA
2940	porencephaly	DOID:0060263	ORPHA
2965	prolactinoma	DOID:5394	ORPHA
2971	peroxisomal acyl-coa oxidase deficiency	DOID:0050797	ORPHA
300385	pituitary carcinoma	DOID:4916	ORPHA
302	epidermodysplasia verruciformis	DOID:13777	ORPHA
303	dystrophic epidermolysis bullosa	DOID:4959	ORPHA
304	epidermolysis bullosa simplex	DOID:4644	ORPHA
3047	blepharophimosis-intellectual disability syndrome, sbbys type	DOID:0060290	ORPHA
3057	monoamine oxidase a deficiency	DOID:0060693	ORPHA
306	benign familial infantile epilepsy	DOID:0060169	ORPHA
306498	pten hamartoma tumor syndrome	DOID:0080191	ORPHA
3071	costello syndrome	DOID:0050469	ORPHA
308	unverricht-lundborg disease	DOID:3535	ORPHA
3099	rheumatic fever	DOID:1586	ORPHA
3103	roberts syndrome	DOID:5325	ORPHA
31112	dermatofibrosarcoma protuberans	DOID:3507	ORPHA
31150	tangier disease	DOID:1388	ORPHA
313	lamellar ichthyosis	DOID:1699	ORPHA
3144	schneckenbecken dysplasia	DOID:0050775	ORPHA
3152	sclerosteosis	DOID:0060251	ORPHA
3156	senior-loken syndrome	DOID:0050576	ORPHA
3166	sialuria	DOID:3659	ORPHA
317	erythrokeratodermia variabilis	DOID:0050467	ORPHA
319213	lujo hemorrhagic fever	DOID:0050202	ORPHA
319218	ebola hemorrhagic fever	DOID:4325	ORPHA
319251	rift valley fever	DOID:1328	ORPHA
3193	supravalvular aortic stenosis	DOID:1929	ORPHA
324	fabry disease	DOID:14499	ORPHA
324964	chronic recurrent multifocal osteomyelitis	DOID:0060645	ORPHA
3250	proximal symphalangism	DOID:0050788	ORPHA
3286	catecholaminergic polymorphic ventricular tachycardia	DOID:0060674	ORPHA
3287	takayasu arteritis	DOID:2508	ORPHA
329	congenital factor xi deficiency	DOID:2229	ORPHA
32960	tumor necrosis factor receptor 1 associated periodic syndrome	DOID:0090018	ORPHA
33	isovaleric acidemia	DOID:14753	ORPHA
3303	tetralogy of fallot	DOID:6419	ORPHA
33069	dravet syndrome	DOID:0060171	ORPHA
3318	essential thrombocythemia	DOID:2224	ORPHA
3319	congenital amegakaryocytic thrombocytopenia	DOID:0090118	ORPHA
3320	thrombocytopenia-absent radius syndrome	DOID:14699	ORPHA
33276	kaposi sarcoma	DOID:8632	ORPHA
333	farber disease	DOID:0050464	ORPHA
33355	reticular dysgenesis	DOID:0060020	ORPHA
3342	arterial tortuosity syndrome	DOID:0050645	ORPHA
337	fibrodysplasia ossificans progressiva	DOID:13374	ORPHA
3378	trisomy 13	DOID:11665	ORPHA
3380	trisomy 18	DOID:1085	ORPHA
3389	tuberculosis	DOID:399	ORPHA
342	familial mediterranean fever	DOID:2987	ORPHA
3437	vogt-koyanagi-harada disease	DOID:12297	ORPHA
3440	waardenburg syndrome	DOID:9258	ORPHA
3447	weaver syndrome	DOID:14731	ORPHA
3448	weaver-williams syndrome	DOID:14731	ORPHA
3449	weill-marchesani syndrome	DOID:0050475	ORPHA
3451	west syndrome	DOID:0050562	ORPHA
3452	whipple disease	DOID:8476	ORPHA
3459	wilson-turner syndrome	DOID:0060814	ORPHA
3463	wolfram syndrome	DOID:10632	ORPHA
347	frasier syndrome	DOID:0050438	ORPHA
349	fucosidosis	DOID:14500	ORPHA
352	galactosemia	DOID:9870	ORPHA
355	gaucher disease	DOID:1926	ORPHA
35612	nanophthalmia	DOID:10629	ORPHA
35687	erdheim-chester disease	DOID:4329	ORPHA
357154	oral submucous fibrosis	DOID:5773	ORPHA
36	acrocallosal syndrome	DOID:9250	ORPHA
36397	adiposis dolorosa	DOID:3928	ORPHA
36426	stevens-johnson syndrome	DOID:0050426	ORPHA
37202	interstitial cystitis	DOID:13949	ORPHA
373	simpson-golabi-behmel syndrome	DOID:0060248	ORPHA
374	goldenhar syndrome	DOID:2907	ORPHA
375	anti-glomerular basement membrane disease	DOID:9808	ORPHA
377	gorlin syndrome	DOID:2512	ORPHA
37748	schnitzler syndrome	DOID:4371	ORPHA
379	chronic granulomatous disease	DOID:3265	ORPHA
380	greig cephalopolysyndactyly syndrome	DOID:14761	ORPHA
385	neurodegeneration with brain iron accumulation	DOID:0110734	ORPHA
388	hirschsprung disease	DOID:10487	ORPHA
39041	omenn syndrome	DOID:0060010	ORPHA
39044	uveal melanoma	DOID:6039	ORPHA
392	holt-oram syndrome	DOID:0060468	ORPHA
397	giant cell arteritis	DOID:13375	ORPHA
399	huntington disease	DOID:12858	ORPHA
40	acromesomelic dysplasia, maroteaux type	DOID:0080050	ORPHA
405	familial hypocalciuric hypercalcemia	DOID:0060699	ORPHA
407	glycine encephalopathy	DOID:9268	ORPHA
41	dyschromatosis symmetrica hereditaria	DOID:0060257	ORPHA
418	congenital adrenal hyperplasia	DOID:0050811	ORPHA
424016	adenocarcinoma of the anal canal	DOID:3692	ORPHA
428	autosomal dominant hypocalcemia	DOID:0090109	ORPHA
429	hypochondroplasia	DOID:0080041	ORPHA
431329	autosomal recessive spastic paraplegia type 57	DOID:0110809	ORPHA
436	hypophosphatasia	DOID:14213	ORPHA
439167	placental insufficiency	DOID:3891	ORPHA
440	familial hypospadias	DOID:10892	ORPHA
442	congenital hypothyroidism	DOID:0050328	ORPHA
447	paroxysmal nocturnal hemoglobinuria	DOID:0060284	ORPHA
44890	gastrointestinal stromal tumor	DOID:9253	ORPHA
457	harlequin ichthyosis	DOID:0060713	ORPHA
46487	acquired epidermolysis bullosa	DOID:4313	ORPHA
465508	symptomatic form of hemochromatosis type 1	DOID:0111029	ORPHA
46627	char syndrome	DOID:0060563	ORPHA
46724	cerebral arteriovenous malformation	DOID:0060688	ORPHA
474	jeune syndrome	DOID:0050592	ORPHA
475	joubert syndrome	DOID:0050777	ORPHA
47612	felty syndrome	DOID:11042	ORPHA
478	kallmann syndrome	DOID:3614	ORPHA
480	kearns-sayre syndrome	DOID:12934	ORPHA
481	kennedy disease	DOID:0060161	ORPHA
48104	pyoderma gangrenosum	DOID:8553	ORPHA
482	kimura disease	DOID:7365	ORPHA
48377	subcorneal pustular dermatosis	DOID:8508	ORPHA
485	kniest dysplasia	DOID:0080045	ORPHA
487	krabbe disease	DOID:10587	ORPHA
48818	aceruloplasminemia	DOID:0050711	ORPHA
49382	achromatopsia	DOID:13911	ORPHA
49827	thiamine-responsive megaloblastic anemia syndrome	DOID:0090117	ORPHA
50	aicardi syndrome	DOID:8461	ORPHA
502	langer-giedion syndrome	DOID:4998	ORPHA
506	leigh syndrome	DOID:3652	ORPHA
507	leishmaniasis	DOID:9065	ORPHA
508	leprechaunism	DOID:0050470	ORPHA
50945	blomstrand lethal chondrodysplasia	DOID:0060387	ORPHA
510	lesch-nyhan syndrome	DOID:1919	ORPHA
511	maple syrup urine disease	DOID:9269	ORPHA
512	metachromatic leukodystrophy	DOID:10581	ORPHA
52055	corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome	DOID:0060816	ORPHA
521	chronic myeloid leukemia	DOID:8552	ORPHA
524	li-fraumeni syndrome	DOID:3012	ORPHA
52416	mantle cell lymphoma	DOID:0050746	ORPHA
52417	malt lymphoma	DOID:0050909	ORPHA
52429	branchiootic syndrome	DOID:0060232	ORPHA
526	liddle syndrome	DOID:0050477	ORPHA
530	lipoid proteinosis	DOID:14498	ORPHA
531	miller-dieker syndrome	DOID:0060469	ORPHA
53271	muenke syndrome	DOID:0060703	ORPHA
534	oculocerebrorenal syndrome of lowe	DOID:1056	ORPHA
538	lymphangioleiomyomatosis	DOID:3319	ORPHA
54057	thrombotic thrombocytopenic purpura	DOID:10772	ORPHA
543	burkitt lymphoma	DOID:8584	ORPHA
545	follicular lymphoma	DOID:0050873	ORPHA
54595	craniopharyngioma	DOID:3840	ORPHA
549	legionellosis	DOID:10458	ORPHA
55	oculocutaneous albinism	DOID:0050632	ORPHA
553	cushing syndrome	DOID:12252	ORPHA
558	marfan syndrome	DOID:14323	ORPHA
55881	adamantinoma	DOID:2776	ORPHA
56	alkaptonuria	DOID:9270	ORPHA
564	meckel syndrome	DOID:0050778	ORPHA
565	menkes disease	DOID:1838	ORPHA
573	monilethrix	DOID:0050472	ORPHA
575	muckle-wells syndrome	DOID:0050854	ORPHA
578	mucolipidosis type iv	DOID:2368	ORPHA
586	cystic fibrosis	DOID:1485	ORPHA
587	muir-torre syndrome	DOID:0050465	ORPHA
589	myasthenia gravis	DOID:437	ORPHA
59305	gestational trophoblastic neoplasm	DOID:3590	ORPHA
595	centronuclear myopathy	DOID:14717	ORPHA
597	central core disease	DOID:3529	ORPHA
599	distal myopathy	DOID:11720	ORPHA
6	3-methylcrotonyl-coa carboxylase deficiency	DOID:0050710	ORPHA
60030	loeys-dietz syndrome	DOID:0050466	ORPHA
606	proximal myotonic myopathy	DOID:0050759	ORPHA
61	alpha-mannosidosis	DOID:3413	ORPHA
610	bethlem myopathy	DOID:0050663	ORPHA
611	inclusion body myositis	DOID:3429	ORPHA
616	medulloblastoma	DOID:0050902	ORPHA
618	familial melanoma	DOID:6846	ORPHA
627	nance-horan syndrome	DOID:0060599	ORPHA
63	alport syndrome	DOID:10983	ORPHA
631	non-acquired isolated growth hormone deficiency	DOID:0060870	ORPHA
633	laron syndrome	DOID:9521	ORPHA
634	netherton syndrome	DOID:0050474	ORPHA
63446	acrocapitofemoral dysplasia	DOID:0050604	ORPHA
635	neuroblastoma	DOID:769	ORPHA
636	neurofibromatosis type 1	DOID:8712	ORPHA
637	neurofibromatosis type 2	DOID:8712	ORPHA
640	hereditary neuropathy with liability to pressure palsies	DOID:0060843	ORPHA
646	niemann-pick disease type c	DOID:14504	ORPHA
647	nijmegen breakage syndrome	DOID:7400	ORPHA
64739	ovarian hyperstimulation syndrome	DOID:5425	ORPHA
64741	pulmonary blastoma	DOID:4765	ORPHA
648	noonan syndrome	DOID:3490	ORPHA
649	norrie disease	DOID:0060844	ORPHA
652	multiple endocrine neoplasia type 1	DOID:10017	ORPHA
65286	3q29 microdeletion syndrome	DOID:0060419	ORPHA
654	nephroblastoma	DOID:2154	ORPHA
655	nephronophthisis	DOID:12712	ORPHA
65759	carpenter syndrome	DOID:0060234	ORPHA
660	omphalocele	DOID:0060327	ORPHA
661	ondine syndrome	DOID:0060731	ORPHA
662	yellow nail syndrome	DOID:0050468	ORPHA
664	ornithine transcarbamylase deficiency	DOID:9271	ORPHA
666	osteogenesis imperfecta	DOID:12347	ORPHA
66629	goldberg-shprintzen megacolon syndrome	DOID:0060481	ORPHA
66631	cednik syndrome	DOID:0060337	ORPHA
66646	cutaneous mastocytosis	DOID:3663	ORPHA
668	osteosarcoma	DOID:3347	ORPHA
67046	3-methylglutaconic aciduria type 1	DOID:0110002	ORPHA
67047	3-methylglutaconic aciduria type 3	DOID:0110004	ORPHA
67048	3-methylglutaconic aciduria type 4	DOID:0110006	ORPHA
673	malaria	DOID:12365	ORPHA
675	annular pancreas	DOID:0060850	ORPHA
677	pancreatoblastoma	DOID:6823	ORPHA
681	hypokalemic periodic paralysis	DOID:14452	ORPHA
682	hyperkalemic periodic paralysis	DOID:14451	ORPHA
683	progressive supranuclear palsy	DOID:678	ORPHA
685	hereditary spastic paraplegia	DOID:2476	ORPHA
69	amyloidosis	DOID:9120	ORPHA
69078	liposarcoma	DOID:3382	ORPHA
699	pearson syndrome	DOID:0060067	ORPHA
7	3c syndrome	DOID:0060565	ORPHA
